sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
,,பொ3ட்டொ,boTTo,,,,"Cloth, Dress","துணி, ஆடை",தி3வளி தெந்து3ஸ் அஸ்கிதெனு நொவ்வொ பொ3ட்டொ பி2ல்லனு,Everyone wears new clothes on Diwali,தீபாவளியன்று அனைவரும் புதிய ஆடைகளை அணிவார்கள்,dress,corpus_sourashtradictionary
,,ஸௌஷ்ணி,saushNi,,,,"Cloth, Dress","துணி, ஆடை",ஸௌஷ்ணி ப்4யாரும் சொக்கட் லாப் அப்3ப3யி,Make a good profit in the clothing business,ஆடை வியாபாரத்தில் நல்ல லாபம் கிடைக்கும்,dress,corpus_sourashtradictionary
,,லுக்டொ3,lukDo,,,,"Cloth, Dress","துணி, ஆடை",பஸுடு3 லுக்டா3ன் மோல் வேனு,Silk dresses are expensive,பட்டு ஆடைகள் விலை அதிகம்,dress,corpus_sourashtradictionary
,,பே2ல்,phEl,,,,Fabric,நெய்யப்பட்ட துணி,மென்க்யான் ஜு2கு ப்ரகாரு பே2லுன் பி2ல்லஸுன்,People wear different types of clothes,மக்கள் பல்வேறு வகையான துணிகளை அணிவார்கள்,dress,corpus_sourashtradictionary
,,நால்,naal,,,,"Fibre, Cord","தண்டு, மெல்லிய கயிறு, கொடி, நார்",த3மரு நாலும் ர்ஹீ பே2லுன் உத்பத்தி ஹோஸு,Fabrics are made from lotus fiber,தாமரை நாரிலிருந்து துணிகள் தயாரிக்கப்படுகின்றன,dress,corpus_sourashtradictionary
,,தாக்,taak,,,,Strand,இழை,சந்தி3 தாகும் கெரெ பே2லுன் ஸொங்கொ3யொ,Fabrics made of cotton fibers are cheap,பருத்தி இழைகளால் செய்யப்பட்ட துணிகள் மலிவானவை,dress,corpus_sourashtradictionary
,,வல்கல்,valkal,,,,Fabrics made from Lotus fibre,தாமரை இழைகளிலிருந்து தயாரிக்கப்படும் துணி,த3மரு நாலும் கெரெ பே2லுன் மோல் வேனு,Fabrics made of lotus fiber are expensive,தாமரை நாரால் செய்யப்பட்ட துணிகள் விலை அதிகம்,dress,corpus_sourashtradictionary
,,கைலொ,kailo,,,,Cotton fabrics,பருத்தி துணிகள்,கைலா பொ3ட்டான் ஹூநு கலமுக் உத்தமு,Cotton fabrics are best for summer,கோடை காலத்திற்கு பருத்தி துணிகள் சிறந்தது,dress,corpus_sourashtradictionary
,,தாத்2,taath,,,,"Thread, Yarn",நூல்,சந்தி3 தாது2ம் ர்ஹீ ஜு2கு ப்ரகாரு பே2லுன் உத்பத்தி ஹோஸு,Different types of fabrics are made from cotton yarn,பருத்தி நூலில் இருந்து பல்வேறு வகையான துணிகள் தயாரிக்கப்படுகின்றன,dress,corpus_sourashtradictionary
,,வேட்,vET,,,,Dhoti,வேஷ்டி,வேடுன் சார் ந்ஹீஜியெத் ஆட் ஹாதும் அப்3ப3யி,Dhotis are available in four or eight yards,வேஷ்டிகள் நாலு அல்லது எட்டு முழத்தில் கிடைக்கும்,dress,corpus_sourashtradictionary
,,கஷ்டொ,kashTo,,,,Traditional way of wearing Dhoti,பஞ்சகச்சம்,த3ல்லான் கஷ்டொ பி2ல்லஸுன்,Men wear panchakasam,ஆண்கள் பஞ்சகச்சம் அணிவார்கள்,dress,corpus_sourashtradictionary
,,அங்க3வஸ்த்ரொ,anggavastro,,,,"Towel, Upper cloth of men","துண்டு, மேலாடை",ஜு2கு3 தெங்கொ3 அங்க3வஸ்த்ரொ தைலத்தெ ரூடி4 ஸே,Many people have a habit of wearing over clothes,பலருக்கு மேல் துணி அணியும் பழக்கம் உள்ளது,dress,corpus_sourashtradictionary
,,செல்லட3ம்,cellaDam,,,,"Pant, Trouser",காற்சட்டை,பில்லல்னு செல்லட3ம் பி2ல்லனு,The boys wear trousers,சிறுவர்கள் கால்சட்டை அணிவார்கள்,dress,corpus_sourashtradictionary
