source,target
ꢂꢒꢬꢵꢡꢶ,akaraati
ꢥꢶꢒꢠ꣄ꢜꢸ,nikant'u
ꢒꣂꢰ꣄,kosh
ꢂꢤ꣄ꢫꢵꢫ꣄,adhyaay
ꢮꢶꢣꢿꢯꢸ ꢩꢵꢰꣁ,videshu bhaasho'
ꢬꢵꢙꢥꢷꢡꢶ,raajaneeti
ꢬꢵꢙꢥꢷꢡꢶ ꢱꢵꢱ꣄ꢡ꣄ꢬꢸ,raajaneeti saastru
ꢬꢵꢙꢥꢷꢡꢶ ꢛꢵꢥ꣄,raajaneeti nyaan
ꢒꢵꢬ꣄ꢫꢵꢭꢫꣁ,kaaryaalayo'
ꢱꢣꢸꢰ꣄ꢜꢪ꣄,sadusht'am
ꢱꢾꢔꢸꢠ,se'guna
꣄ ꢱꢹꢱꢥꣁ,soosano'
ꢮꢶꢔ꣄ꢛꢵꢥ꣄,vignjaan
ꢮꢣ꣄ꢣꢶ,vaddi
ꢏꢣ꣄ꢣꢶ,o'ddi
ꢏꢬ꣄ꢱꢸꢦꢬꢶꢰꢾ,o'rsuparishe'
ꢮꢵꢬ꣄ꢯꢶꢒ ꢦꢬꢶꢒ꣄ꢰꣁ,vaarshika pariksho'
ꢏꢬ꣄ꢱꢸꢮꣀꢩꢮ꣄,o'rsuvaibhav
ꢱꢪ꣄ꢱꣂꢤꢥꣁ,samsodhano'
ꢱꢪ꣄ꢱꣂꢤꢥꢱꢵꢭꣁ,samsodhanasaalo'
ꢱꢪ꣄ꢱꣂꢤꢥꢵꢦꣁꢡꢶ,samsodhanaapo'ti
ꢱꢪ꣄ꢱꣂꢤꢥꢵ,samsodhanaa
ꢮ꣄ꢫꢒ꣄ꢡꢶꢩꢵꢮ꣄,vyaktibhaav
ꢱ꣄ꢮꢩꢵꢮ꣄,svabhaav
ꢱꢪꢡ꣄ꢡꢸ,samattu
ꢥꢶꢦꢸꢠꢡ꣄ꢮꣁ,nipunatvo'
ꢱꢖ꣄ꢒꢷꢡ ꢒꢠ꣄ꢱꢵꢭꣁ,sankeeta kansaalo'
ꢦ꣄ꢬꢒꢺꢡꢶ,prakri'ti
ꢮ꣄ꢫꢵꢒꢬꢠꣁ,vyaakarano'
ꢱꢵꢲꢶꢡ꣄ꢫꣁ,saahityo'
ꢔ꣄ꢣ꣄ꢫꣁ,gdyo'
ꢱꢪ꣄ꢩꢵꢰꢠꣁ,sambhaashano'
ꢭꢶꢓ꣄꣄ꢭꣁ,likhlo'
ꢡꢬꢾ,tare'
ꢮ꣄ꢫꢵꢱꣁ,vyaaso'
ꢭꢾꢓꢸ,le'khu
ꢭꢴꢾꢓꣁ,lhe'kho'
ꢲꢷꢱꢸ,heesu
ꢔꢠꢶꢶꢡ꣄,ganiit
ꢓꢾꢥꢶ,khe'ni
ꢓꢾꢡꣁ,khe'to'
ꢂꢩꢶꢦ꣄ꢬꢵꢫꢸ ꢱꢣꢱ꣄,abhipraayu sadas
ꢒꢭꢵ ꢱꢵꢭꣁ,kalaa saalo'
ꢅꢔꢸ ꢮꢶꢣ꣄ꢫꣁ ꢗꢾꢣꢸꢮ꣄,eegu vidyo' che'duv
ꢒꢮꢶ,kavi
ꢒꢮꢶꢡꣁ,kavito'
ꢄꢔꢞꢱ꣄ꢡꢿ,igad'aste
ꢗꢾꢮ꣄ꢣꢶꢥꢶ,che'vdini
ꢱꢶꢒ꣄ꢒꢶꢥꢶ,sikkini
ꢒꢳ꣄꣄ꢙꢪ꣄,kal'jam
ꢒꢵꢮ꣄ꢫꣁ,kaavyo'
ꢱꢹꢗꢥꣁ,soochano'
ꢱꢹꢗꢥꢵꢦꣁꢡꢶ,soochanaapo'ti
ꢎꢒꢶ ꢭꢶꢓꢶꢥꢶ,aiki likhini
ꢦꢸꢱ꣄ꢥꢶ,pusni
ꢦꢸꢱꢵꢮ꣄,pusaav
ꢲꢵꢡꢰꢬ꣄,haatashar
ꢲꢵꢡꢸꢦꣁꢡꢶ,haatupo'ti
ꢥꢷꢡꢶꢥꢶꢫꢪꣁ,neetiniyamo'
ꢱꢶꢣ꣄ꢤꢵꢥ꣄ꢡꢸ,siddhaantu
ꢗꢶꢡ꣄ꢬꢸ,chitru
ꢭꣂꢱꢸ,losu
ꢗꢶꢡ꣄ꢡꢬ꣄,chittar
ꢫꣂꢗꢥꣁ,yochano'
ꢥꢥ꣄ꢓꢾꢥꢶ,nankhe'ni
ꢭꣀꢒꢵꢱꢸꢒꢳ꣄ꢙꢾꢪ꣄,laikaasukal'je'm
ꢱꢪꢵꢗꢵꢬꢸꢦꢡ꣄ꢬꣁ,samaachaarupatro'
ꢔꢮ꣄ꢥꣁ,gavno'
ꢦꢣ꣄ꢫꢪ꣄,padyam
ꢱ꣄ꢭꣂꢒ꣄,slok
ꢮꢡ꣄ꢡꣁ,vatto'
ꢒꣁꢰ꣄,ko'sh
ꢱꢨ꣄ꢣ ꢩꢠ꣄ꢞꢵꢬ꣄,sabda bhand'aar
ꢱꣁꢤꢥꣁ,so'dhano'
ꢦꢬꢷꢒ꣄ꢰꣁ,pareeksho'
ꢪꢥ꣄ꢡꢸ,mantu
ꢗꢹꢒ꣄,chook
ꢒꢸꢠ꣄ꢜꢸ,kunt'u
ꢪꢵꢫ꣄ ꢩꢵꢰꣁ,maay bhaasho'
ꢪꢵꢡ꣄ꢬꢸꢩꢵꢰꣁ,maatrubhaasho'
ꢒꢭ꣄ꢙꢾꢪ꣄,kalje'm
ꢥꣀꢦꢸꢠ꣄ꢫ,naipunya
ꢮꢶꢪꢬ꣄ꢱꢥꣁ,vimarsano'
ꢔꢸꢠꢣꣂꢰ ꢮꢶꢗꢵꢬ꣄,gunadosha vichaar
ꢮꢶꢩꢵꢔ꣄,vibhaag
ꢦꢬꢷꢰꢾ,pareeshe'
ꢦꢬꢷꢰꢵ ꢢꢵꢪ꣄,pareeshaa thaam
ꢃꢬꢪ꣄ꢩ ꢲꢸꢬꢶ,aarambha huri
ꢮꢡ꣄ꢡꢵ ꢡꣁꢬꢠ꣄,vattaa to'ran
ꢗꢵꢭ꣄ꢗꢭꢥ꣄,chaalchalan
ꢗꢭ꣄ꢥꢶ,chalni
ꢥꢜꢥꣁ,nat'ano'
ꢥꢵꢗꢸ,naachu
ꢭꣁꢒ꣄ꢓꢾꢥꢶ,lo'kkhe'ni
ꢭꣂꢒ꣄ꢔꢷꢡ꣄,lokgeet
ꢣꢿꢱꢶꢔꢷꢡ꣄,desigeet
ꢦꣁꢡꢶ,po'ti
ꢦꢸꢱ꣄ꢡꢮ꣄,pustav
ꢦꢸꢱ꣄ꢡꢶꢒꣁ,pustiko'
ꢦꣁꢡꢶꢔ꣄ꢕꢿꢬ꣄,po'tiggher
ꢩꢠ꣄ꢞꢵꢬꢸꢕꢿꢬ꣄,bhand'aarugher
ꢮꢬ꣄ꢠꢪꢵꢭꣁ,varnamaalo'
ꢭꢒ꣄ꢰ꣄꣄ꢫꣁ,lakshyo'
ꢤ꣄ꢫꢾꢫꢸ,dhye'yu
ꢦꣁꢒ꣄,po'k
ꢦꢸꢜꣁ,put'o'
ꢱ꣄ꢥꢵꢡꢒꣁ,snaatako'
ꢆꢦꢵꢤꢶ,upaadhi
ꢗ꣄qꢡꢸꢮ꣄ ꢒꣁꢜ꣄ꢜꣁ ꢮꢵꢗꢒꢱꢵꢭꣁ,chqtuv ko't't'o' vaachakasaalo'
ꢗꢾꢣꢸꢮ꣄,che'duv
ꢅꢔ꣄,eeg
ꢧꢬꢪ꣄,pharam
ꢬꢱꢶꢥꢶ,rasini
ꢱꢛ꣄ꢗꢶꢒꣁ,sanchiko'
ꢙꢾꢮꢵꢦ꣄,je'vaap
ꢂꢩ꣄ꢫꢵꢱ꣄,abhyaas
ꢙꢿꢪ꣄,jem
ꢦꢵꢬꢶꢡꣂꢱꢶꢒꣁ,paaritosiko'
ꢦꢬꢶꢱꣁꢤꢥꣁ,pariso'dhano'
ꢦꢬ꣄ꢒ꣄ꢰꣁ,parksho'
ꢱꢬ꣄ꢮꢒꢭꢵꢱꢵꢭꣁ,sarvakalaasaalo'
ꢲꢸꢬꢶ,huri
ꢙꢸꢥ꣄ꢥꢮꢵꢗꢸ,junnavaachu
ꢦ꣄ꢬꢵꢮꢵꢗꢸ,praavaachu
ꢔꢷꢡ꣄,geet
ꢦꢵꢝꢮꢶꢮꢬꢠꣁ,paat'havivarano'
ꢦꢵꢝꢦꢸꢱ꣄ꢡꢮ꣄,paat'hapustav
ꢦꢵꢝ꣄,paat'h
ꢦꣁꢬꣁ,po'ro'
ꢭꢵꢪ꣄ꢓꢾꢥꢶ,laamkhe'ni
ꢥꣁꢮ꣄ꢮꢒꢮꢶꢡꣁ,no'vvakavito'
ꢦꢸꢬꢵꢠꣁ,puraano'
ꢪꢴꢵ ꢏꢣ꣄ꢣꢶ,mhaa o'ddi
ꢭꢶꢒ꣄ꢭꣁ,liklo'
ꢮꢶꢰꢫꢸ,vishayu
ꢫꢥ꣄ꢡ꣄ꢬꢸꢮꢶꢣ꣄ꢫꣁ,yantruvidyo'
ꢫꢥ꣄ꢡ꣄ꢬꢸ ꢮꢶꢔ꣄ꢛꢵꢥ꣄,yantru vignjaan
ꢦꣁꢥ꣄ꢡꢶ,po'nti
ꢱ꣄ꢦꢬ꣄ꢤꣁ,spardho'
ꢏꢫ꣄ꢣꢦꢥ꣄,o'ydapan
ꢲꣁꢔꢡ꣄,ho'gat
ꢥꢴꢸꢬꢸꢥꢸ ꢲꢸꢬꢶ,nhurunu huri
ꢮꢶꢣ꣄ꢫꢵꢬ꣄ꢡꢶ,vidyaarti
ꢮꢶꢣ꣄ꢫꢵꢬ꣄ꢡ꣄ꢡꢶꢥꢶ,vidyaarttini
ꢧꣀꢭꢮꢬ꣄ꢔꢸ,phailavargu
ꢦ꣄ꢬꢤꢵꢥꣁꢣ꣄ꢣꢶ,pradhaano'ddi
ꢧꣀꢭꢯ꣄꣄ꢬꢿꢥꢶ,phailashreni
ꢪꣀ,mai
ꢩꢵꢰꣁ,bhaasho'
ꢩꢵꢰꢵ ꢬꢷꢡꢶ,bhaashaa reeti
ꢩꢵꢰꢵ ꢪꢬ꣄ꢗꢶꢥꢶ,bhaashaa marchini
ꢂꢥꢸꢮꢵꢣ꣄,anuvaad
ꢩꢵꢱꢵꢥ꣄ꢡꢬ꣄,bhaasaantar
ꢡꢬ꣄ꢙꢪꣁ,tarjamo'
ꢩꢵꢰꢵꢮꢶꢔ꣄ꢛꢵꢥ꣄,bhaashaavignjaan
ꢮꢬ꣄ꢒꢸ,varku
ꢗꢬꢶꢡ꣄ꢬꢸ,charitru
ꢯꢨ꣄ꢣꢸ ꢴ,shabdu ha
ꢮꢔ꣄ꢛꢵꢥ꣄,vagnjaan
ꢮꢔ꣄ꢛꢵꢥꢶ,vagnjaani
ꢯꣁꢞ꣄ꢠꢶ,sho'd'ni
ꢯꣂꢞꢸ,shod'u
ꢱꣁꢞ꣄ꢮꢵꢬ꣄,so'd'vaar
ꢙꢮꢵꢨ꣄,javaab
ꢮꢶꢮꢵꢡ꣄,vivaat
ꢦ꣄ꢬꢰ꣄ꢥꣁ,prashno'
ꢦꢸꢱꢶꢥꢶ,pusini
ꢦ꣄ꢬꢰ꣄ꢥ ꢦꢡ꣄ꢬꣁ,prashna patro'
ꢒꣁꢪ꣄ꢪꢵ ꢂꢩ꣄ꢫꢵꢱ꣄,ko'mmaa abhyaas
ꢙꢾꢭ꣄ꢪꢶꢥ꣄,je'lmin
ꢭꢴꣁꢔꢠ꣄,lho'gan
ꢒꢾꢱ꣄ꢡꢸꢭ꣄,ke'stul
ꢭꣂꢲꢸ,lohu
ꢦꢛ꣄ꢗꢭꣂꢲꢸ,panchalohu
ꢂꢣ꣄ꢣꢪ꣄,addam
ꢲꢦꢵꢥ꣄,hapaan
ꢣꢮ꣄ꢥꣁ,davno'
