sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
ꢣꢭ꣄ꢭꣁ,दल्ला॑,த3ல்லொ,dallo',dallO,dallŏ,d̪əllo,male,ஆண்,,,,Age-and-Growth-Stages,words
ꢙꢾꢥꣁ,ज॑ना॑,ஜெனொ,je'no',jEnO,jĕnŏ,d͡ʒen̪o,person,ஆள்,,,,Age-and-Growth-Stages,words
ꢙꢮ꣄ꢠꣁ,जव्णा॑\ना॑ जव्णपन्,ஜவ்ணொ,javno',javNO,javṇŏ,d͡ʒəʋɳo,Youth/ youth stage,இளமை/ இளமைப் பருவம்,,,,Age-and-Growth-Stages,words
ꢥꣁ,यौवना॑,னொ,no',nO,nŏ,n̪o,Youth/ youth stage,இளமை/ இளமைப் பருவம்,,,,Age-and-Growth-Stages,words
ꢙꢮ꣄ꢠꢦꢥ꣄,यौवना॑,ஜவ்ணபன்,javnapan,javNapan,javṇapan,d͡ʒəʋɳəpən̪,Youth/ youth stage,இளமை/ இளமைப் பருவம்,,,,Age-and-Growth-Stages,words
ꢫꣃꢮꢥꣁ,यौवना॑,யௌவனொ,yauvano',yauvanO,yauvanŏ,jəuʋən̪o,Youth/ youth stage,இளமை/ இளமைப் பருவம்,,,,Age-and-Growth-Stages,words
ꢙꢮ꣄ꢠꣁ,जव्णा॑,ஜவ்ணொ,javno',javNO,javṇŏ,d͡ʒəʋɳo,young man,இளைஞன்,,,,Age-and-Growth-Stages,words
ꢙꢮ꣄ꢠꢶ,जव्णि,ஜவ்ணி,javni,javNi,javṇi,d͡ʒəʋɳɪ,Younger woman,இளையவள்,,,,Age-and-Growth-Stages,words
ꢥꢴꢥ꣄ꢥꣁ,न्हन्ना॑,ந:ன்னொ,nhanno',nhannO,nhannŏ,n̪ɦən̪n̪o,Younger man,இளையவன்,,,,Age-and-Growth-Stages,words
ꢕꢾꢬ꣄ꢮꢵꢬ꣄,घ॑र्वार,கெ4ர்வார்,ghe'rvaar,ghErvAr,ghĕrvār,gʰeɾʋɑːɾ,pregnancy,கர்ப்பம்,,,,Age-and-Growth-Stages,words
ꢕꢾꢮ꣄ꢬꢵꢬ꣄,घेव्रार,கெ4வ்ரார்,ghe'vraar,ghEvrAr,ghĕvrār,gʰeʋɾɑːɾ,pregnancy,கர்ப்பம்,,,,Age-and-Growth-Stages,words
ꢕꢾꢬ꣄ꢮꢬꢶꢥ꣄,घघ॑र्वरिन,கெ4ர்வரின்,ghe'rvarin,ghErvarin,ghĕrvarin,gʰeɾʋəɾɪn̪,pregnant woman,கர்ப்பிணி,,,,Age-and-Growth-Stages,words
ꢕꢾꢮ꣄ꢬꢬꢶꢥ꣄,घ॑व्ररिन्,கெ4வ்ரரின்,ghe'vrarin,ghEvrarin,ghĕvrarin,gʰeʋɾəɾɪn̪,pregnant woman,கர்ப்பிணி,,,,Age-and-Growth-Stages,words
ꢒꢥ꣄ꢫꣁ,कन्या॑,கன்யொ,kanyo',kanyO,kanyŏ,kən̪jo,virgin­,கன்னி,,,,Age-and-Growth-Stages,words
ꢣꣁꢮ꣄ꢬꣁ,दा॑व्रा॑,தொ3வ்ரொ,do'vro',dOvrO,dŏvrŏ,d̪oʋɾo,old man,கிழவன்,,,,Age-and-Growth-Stages,words
ꢣꣁꢮ꣄ꢬꢶ,दा॑व्रि,தொ3வ்ரி,do'vri,dOvri,dŏvri,d̪oʋɾɪ,old woman,கிழவி,,,,Age-and-Growth-Stages,words
