alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence,category,source
ருச்சி,rucci,சுவை,Taste,ருச்சின் ஸோயொ ஸே,ruccin sOyo sE,ஆறு சுவைகள் உள்ளன,There are six flavors,taste,corpus_sourashtradictionary
ருச்சி பாகுன்,rucci paakun,சுவை,Taste,பு4க்லாகு ருச்சி பாகுன் களானா,bhuklaaku rucci paakun kaLaanaa,பசியோடு இருப்பவருக்கு சுவை தெரியாது,One who is hungry does not know taste,taste,corpus_sourashtradictionary
ருச்சி ஹொயெ,rucci hoye,"சுவையானது, சுவை மிக்க","Tasty, Delecious",கி4ராஸு பொள்ளா வேன் ருச்சி ஹொயெ பொள்ளா,ghiraasu poLLaa vEn rucci hoye poLLaa,அன்னாசிப்பழம் மிகவும் சுவையான பழம்,Pineapple is a very tasty fruit,taste,corpus_sourashtradictionary
அம்ப3ட்,ambaT,புளிப்பு,"Sour, Leaven",சீஸு ருச்சி அம்ப3டு3,ceesu rucci ambaDu,புளியின் சுவை புளிப்பு,The taste of tamarind is sour,taste,corpus_sourashtradictionary
கஸ்னி,kasni,துவர்ப்பு,Astringent,ஹப்பளு ருச்சி கஸ்னி ஹோஸு,happaLu rucci kasni hOsu,கொட்டைப்பாக்கின் சுவை துவர்ப்பு ஆகும்,The taste of Arica nut is astringent,taste,corpus_sourashtradictionary
புஷ்ளொ,pushLo,துவர்ப்பு,Astringent,சிஞ்ஜிரி பு4ர்கா ருச்சி புஷ்ளொ ஹோஸு,cinjjiri bhurkaa rucci pushLo hOsu,புளியங்கொட்டை பொடியின் சுவை துவர்ப்பு ஆகும்,The taste of tamarind seed powder is also astringent,taste,corpus_sourashtradictionary
ஒகு3ர்,ogur,துவர்ப்பு,Astringent,ஹக்3கு3னொ ப3ரொ கெரத்திஸா ஶக்தி ஒகு3ர் ருச்சிக் ஸேத்தெ,hagguno baro kerattisaa ssakti ogur ruccik sEtte,வயிற்றுப் போக்கை சரி செய்யும் ஆற்றல் துவர்ப்புச் சுவைக்கு உண்டு,The astringent taste has the power to correct diarrhea,taste,corpus_sourashtradictionary
கு3ள்ளெ,guLLe,இனிப்பு,Sweet,பொ2ன்னிஸு பொள்ளா ருச்சி கு3ள்ளெ ஹோஸு,phonnisu poLLaa rucci guLLe hOsu,பலாப்பழத்தின் சுவை இனிப்பு ஆகும்,The taste of jackfruit is sweet,taste,corpus_sourashtradictionary
கெ2ருட்,kheruT,உவர்ப்பு,Salt,பொ3ந்தெ3ம் கெ2ருட் ருச்சி வேன் ஸே,bondem kheruT rucci vEn sE,வாழைத் தண்டில் உவர்ப்புச் சுவை மிகுதியாக உள்ளது,Plantain Stem are rich in salty taste,taste,corpus_sourashtradictionary
கொடு3,koDu,கசப்பு,Bitter,கல்லா ருச்சி கொடு3கன் ர்ஹாயி,kallaa rucci koDukan rhaayi,பாகற்காயின் சுவை கசப்பாக இருக்கும்,The taste of bitter gourd is bitter,taste,corpus_sourashtradictionary
