sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
ꢲꢣ꣄ꢣꢸ,हद्दु,ஹத்3து3,haddu,haddu,haddu,ɦəd̪d̪u,half,அரை,,,,Numerals,words
ꢂꢬ꣄ꢒ꣄ꢫꢵꢭ꣄,अर्क्याल,அர்க்யால்,arkyaal,arkyAl,arkyāl,əɾkjɑːl,one eight,அரைக்கால்,,,,Numerals,words
ꢂꢖ꣄ꢒꢾ,अङ्का॑,அங்கொ,anke',aGkE,aṅkĕ,əŋke,"digit, number",இலக்கம்,,,,Numerals,words
ꢱꣂꢮꢸ,सा॑वु,ஸொவு,sovu,sovu,sovu,s̪oːʋu,quarter,கால்,,,,Numerals,words
ꢒꢳꣁ,कळा॑,களொ,kal'o',kaLO,kal̤ŏ,kəɭo,1/16 of a measure,மாகாணி,,,,Numerals,words
ꢮꢷꢱꢪꢞ꣄ꢜꣁ,वीसमड्डा॑,விஸமட்3டொ3,veesamad't'o',vIsamaDTO,vīsamaḍṭŏ,ʋiːs̪əməɖʈo,1/16 of a measure,மாகாணி,,,,Numerals,words
ꢡꢶꢮ,तिव,திவ,tiva,tiva,tiva,t̪ɪʋə,three-fourth,முக்கால்,,,,Numerals,words
ꢱꢶꢭꢶ,सिलि,ஸிலி,sili,sili,sili,s̪ɪlɪ,1/32 of a measure,முண்டாணி,,,,Numerals,words
ꢱꢣ꣄ꢣꢸꢮꢶꢱꢪ꣄,सद्दुविसम्,ஸத்3து3விஸம்,sadduvisam,sadduvisam,sadduvisam,s̪əd̪d̪uʋɪs̪əm,1/32 of a measure,முண்டாணி,,,,Numerals,words
ꢱꢸꢥ꣄ꢫ,सून्य,ஸுந்ய,sunya,sunya,sunya,s̪un̪jə,zero,பாழ்,,,,Numerals,words
ꢱꢸꢥ꣄ꢥꢸ,सुन्नु,ஸுந்நு,sunnu,sunnu,sunnu,s̪un̪n̪u,zero,பூஜியம்,,,,Numerals,words
ꢫꣂꢔ꣄,योग्,யோக்3,yog,yog,yog,joːg,one,ஒன்று,,,,Numerals,words
ꢣꢷ,दी,தீ3,dee,dI,dī,d̪iː,two,இரண்டு,,,,Numerals,words
ꢣꢷꢥꢸ,दीनु,தீ3நு,deenu,dInu,dīnu,d̪iːn̪u,three,மூன்று,,,,Numerals,words
ꢗꢵꢬꢸ,चारु,சாரு,chaaru,cAru,cāru,t͡ʃɑːɾu,four,நான்கு,,,,Numerals,words
ꢦꢵꢛ꣄ꢗ꣄,पाञ्च्,பாஞ்ச்,paanch,pAJc,pāñc,pɑːɲt͡ʃ,five,ஐந்து,,,,Numerals,words
ꢱꣂ,सो,ஸோ,so,so,so,s̪oː,six,ஆறு,,,,Numerals,words
ꢱꢵꢢ꣄,साथ्,ஸாத்2,saath,sAth,sāth,s̪ɑːt̪ʰ,seven,ஏழு,,,,Numerals,words
ꢃꢝ꣄,आठ्,ஆட்2,aat'h,ATh,āṭh,ɑːʈʰ,eight,எட்டு,,,,Numerals,words
ꢥꣁꢮ꣄,ना॑व्,நொவ்,no'v,nOv,nŏv,n̪oʋ,nine,ஒன்பது,,,,Numerals,words
ꢣꢾꢱ꣄,द॑स्,தெ3ஸ்,de's,dEs,dĕs,d̪es̪,ten,பத்து,,,,Numerals,words
ꢮꢶꢒ꣄ꢫꢵꢬ꣄,विक्यार्,விக்யார்,vikyaar,vikyAr,vikyār,ʋɪkjɑːɾ,eleven,பதினொன்று,,,,Numerals,words
ꢨꢵꢬ꣄,बार्,பா3ர்,baar,bAr,bār,bɑːɾ,twelve,பன்னிரண்டு,,,,Numerals,words
ꢡꢿꢬ꣄,तेर्,தேர்,ter,ter,ter,t̪eːɾ,thirteen,பதிமூன்று,,,,Numerals,words
ꢗꣁꢮꢣ꣄,चा॑व्द्,சொவ்த்3,cho'vad,cOvad,cŏvad,t͡ʃoʋəd̪,fourteen,பதினான்கு,,,,Numerals,words
