sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
,,கோன்,kOn,,,,Who,யார்,மொரெ ஸெராடி3 கோன் அவரியொ?,Who are coming with me?,என்னுடன் யார் வருகிறார்கள்?,pron,corpus_sourashtradictionary
,,மீ,mee,,,,I,நான்,மீ பெ3ஸ்தார்தி3 அவரியொ,I'm coming on Thursday,நான் வியாழக்கிழமை வருகிறேன்,pron,corpus_sourashtradictionary
,,மீ,mee,,,,Me,நான்,மீ துரெ வத்3தி3,I'm your teacher,நான் உங்கள் ஆசிரியர்,pron,corpus_sourashtradictionary
,,தூ,too,,,,You,நீ,தூ அவரியொயா?,Are you coming?,நீ வருகிறாயா?,pron,corpus_sourashtradictionary
,,அமி,ami,,,,We,நாங்கள்,அமி சென்னையும் ஜிவரியொ,We live in Chennai,நாங்கள் சென்னையில் வசிக்கிறோம்,pron,corpus_sourashtradictionary
,,துமி,tumi,,,,You,நீங்கள்,துமி கோட் ஜிவரியொ?,Where do you live?,நீங்கள் எங்கே வசிக்கிறீர்கள்?,pron,corpus_sourashtradictionary
,,எனொ,eno,,,,"He, She","இவன், இவள்",எனொ மொரெ ந்ஹன் ப4ய்,He is my younger brother,இவன் என் இளைய சகோதரன்,pron,corpus_sourashtradictionary
,,தெனொ,teno,,,,"He, She","அவன், அவள்",தெனொ சொவ்து3ம் கெ4டி3கெத்தான்,He is smarter in the study,அவன் படிப்பில் கெட்டிக்காரன்,pron,corpus_sourashtradictionary
,,தென்தெனு,tentenu,,,,Everyone,அவனவன்,தென்தெனு தெங்கொ3 தெங்கொ3 வாடும் ஜியாஸ்,Everyone went on their own way,அவரவர் அவரவர் வழியில் சென்றனர்,pron,corpus_sourashtradictionary
,,எனு,enu,,,,"He, They","இவர், இவர்கள்",எனு கோட் காம் கெரரியொ?,Where is he working?,இவர் எங்கே வேலை செய்கிறார்?,pron,corpus_sourashtradictionary
,,தெனு,tenu,,,,"He, They","அவர், அவர்கள்",தெனு விரதி ப2ராது கோ3ஸ் ஸே,He is idle after retirement,அவர் பணி ஓய்வுக்குப் பிறகு சும்மா இருக்கிறார்,pron,corpus_sourashtradictionary
,,அஸ்கிதெனு,askitenu,,,,Everyone,எல்லோரும்,அஸ்கிதெனு ஸொந்தோஷ்கன் ஸே,Everyone is happy,எல்லோரும் மகிழ்ச்சியாக இருக்கிறார்கள்,pron,corpus_sourashtradictionary
,,கொன்னிதெனு,konnitenu,,,,"No one, Nobody","யாரும், யாருமே",காய் கெர்னொ மெனி கொன்னிதெனு ஸங்க்3யானி,No one told us what to do,என்ன செய்வது என்று யாரும் சொல்லவில்லை,pron,corpus_sourashtradictionary
,,கோன்தி,kOnti,,,,Someone,"யாரோ, யாராவது",கோன்தி பை2லொ ஹர்ம்ப3ம் கெர்னொ,Someone should start first,யாராவது முதலில் தொடங்க வேண்டும்,pron,corpus_sourashtradictionary
,,ஒக்கொக்கொ,okkokko,,,,Every,ஒவ்வொரு,ஒக்கொக்கொ ஒர்ஸும் ஹுன்னொ வேன் ஹோரஸ்,Every year it gets hotter,ஒவ்வொரு ஆண்டும் வெப்பம் அதிகமாகிறது,pron,corpus_sourashtradictionary
,,ஸவ,sava,,,,All,அனைத்து,ஸவ ஜீவுனுக் ஜிவத்தக் தீ4னு ஸேத்தெ,All living beings have the right to live,அனைத்து உயிரினங்களுக்கும் வாழ உரிமை உண்டு,pron,corpus_sourashtradictionary
,,அஸ்கி,aski,,,,"All, Everything","எல்லாம், அனைத்து, அனைத்தும்",அஸ்கி பரீக்ஷானுக் தொ3ப்3பி3 தொ2வ்தியா,All exams were postponed,அனைத்து தேர்வுகளையும் ஒத்திவைத்தனர்,pron,corpus_sourashtradictionary
,,பூரா,pooraa,,,,"All, Everything","எல்லாம், அனைத்து, அனைத்தும்",தெல்லெ பூரா தூ மென ஹோனா !!,You should not say all that !!,அதை எல்லாம் நீ சொல்லக்கூடாது !!,pron,corpus_sourashtradictionary
,,அஸ்கியொ,askiyo,,,,Everything,அனைத்தையும்,கெ3ருவ் அஸ்கியொ நஸினம் கெர்த்தை,Arrogance will destroy everything,ஆணவம் அனைத்தையும் அழித்துவிடும்,pron,corpus_sourashtradictionary
