sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
,,ஹாத் ஸோட் / ஸொடு3வொ,haat sOT / soDuvo,,,,Abandon,கைவிடு,,,,verb,corpus_sourashtradictionary
,,அனுஸரணொ கேர் / கெருவொ,anusaraNo kEr / keruvo,,,,Abide,பின்பற்று,,,,verb,corpus_sourashtradictionary
,,"கி3ரகி3ஞ்சி, கி3ரகி3ஞ்சுவொ","giraginjci, giraginjcuvo",,,,Absorb,உறிஞ்சு,,,,verb,corpus_sourashtradictionary
,,"ஜு2ர், ஜு2ருவொ","jhur, jhuruvo",,,,Absorb,உறிஞ்சு,,,,verb,corpus_sourashtradictionary
,,து3ஷ்ப்ரயோக்3 கேர் / கெருவொ,dushprayOg kEr / keruvo,,,,Abuse,தவறாக பயன்படுத்து,,,,verb,corpus_sourashtradictionary
,,"ஒப்பிளெ, ஒப்புளுவொ","oppiLe, oppuLuvo",,,,"Accept, Confess","ஏற்றுக்கொள், ஒப்புக்கொள்",,,,verb,corpus_sourashtradictionary
,,ஸெங்கொ3 ஜா / ஜவொ,senggo jaa / javo,,,,Accompany,உடன் செல்,,,,verb,corpus_sourashtradictionary
,,ஸாத்4யகெரி தெ3க்காட் / தெ3க்கடு3வொ,saadhyakeri dekkaaT / dekkaDuvo,,,,Achieve,சாதித்து காட்டு,,,,verb,corpus_sourashtradictionary
,,"மீள், மிளுவொ","meeL, miLuvo",,,,Add,கூட்டு,,,,verb,corpus_sourashtradictionary
,,அனுஸரணொ கேர் / கெருவொ,anusaraNo kEr / keruvo,,,,Adhere,பின்பற்று,,,,verb,corpus_sourashtradictionary
,,"தெ3ஸில்லெ, தெ3ஸுல்லுவொ","desille, desulluvo",,,,Adhere,ஒட்டிக்கொள்,,,,verb,corpus_sourashtradictionary
,,ஸெர்க்க கேர் / கெருவொ,serkka kEr / keruvo,,,,Adjust,சரி செய்,,,,verb,corpus_sourashtradictionary
,,"சேட், செடு3வொ","cET, ceDuvo",,,,Advance,முன்னேறு,,,,verb,corpus_sourashtradictionary
,,"ஒப்பிளெ, ஒப்புளுவொ","oppiLe, oppuLuvo",,,,"Agree, Confess","உடன்படு, ஒப்புக்கொள்",,,,verb,corpus_sourashtradictionary
,,"ஹுத்திர், ஹுத்துருவொ","huttir, hutturuvo",,,,Alight,இறங்கு,,,,verb,corpus_sourashtradictionary
,,"ஹள்சி, ஹள்சுவொ","haLci, haLcuvo",,,,Analyze,அலசு,,,,verb,corpus_sourashtradictionary
,,"லாவ், லவொ","laav, lavo",,,,Apply,"இடு, போடு, பூசு",,,,verb,corpus_sourashtradictionary
