sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
,,கிடொ3,kiDo,,,,Worm,புழு,முற்கெ3 பொள்ளானும் கிடா3ன் உத்பத்தி ஹோஸு,Worms form on rotten fruit,அழுகிய பழங்களில் புழுக்கள் உருவாகும்,insect,corpus_sourashtradictionary
,,ஸித்3த3ட்,siddaT,,,,Earthworm,மண்புழு,ஸித்3த3டுக் ஜுன்னாருக் ஸிங்க3ய்த் மெனன்,The earthworm is called the farmer's friend,மண்புழு விவசாயிகளின் நண்பன் என்று அழைக்கப்படுகிறது,insect,corpus_sourashtradictionary
,,ஹாபு3,haabu,,,,Insect,பூச்சி,"களயெ அஸ்கி ஜீவுனும், ஹத்3தெ3 ஹொல்லொ ஹாபு3னு",Insects make up more than half of all known organisms,அறியப்பட்ட அனைத்து உயிரினங்களிலும் பூச்சிகள் பாதிக்கும் மேற்பட்டவை,insect,corpus_sourashtradictionary
,,ஹப்3பு3,habbu,,,,Insect,பூச்சி,ஹப்3பு3னுக் ஸோ பாய்ஞினு ஸே,Insects have six legs,பூச்சிகளுக்கு ஆறு கால்கள் உள்ளன,insect,corpus_sourashtradictionary
,,மிங்கி3,minggi,,,,Ant,எறும்பு,மிங்கி3ன் அபுல் ஆங்கு3 பா4ர் ஸொம்மர் 10-50 கு3ண் பா4ர் துக்கயி,Ants carry 10-50 times their own body weight,எறும்புகள் தங்கள் உடல் எடையை விட 10-50 மடங்கு எடையை சுமக்கும்,insect,corpus_sourashtradictionary
,,முங்கி3,munggi,,,,Ant,எறும்பு,முங்கி3னு வேன் ஸக்ரியொ ஹொயெயொ,The ants are very active,எறும்புகள் மிகவும் சுறுசுறுப்பானவை,insect,corpus_sourashtradictionary
,,களொ மிங்கி3,kaLo minggi,,,,Tiny Black Ant,பிள்ளையார் எறும்பு,களொ மிங்கி3 சவ்னா,Tiny Black ant does not bite,பிள்ளையார் எறும்பு கடிக்காது,insect,corpus_sourashtradictionary
,,ல்ஹொவொ மிங்கி3,lhovo minggi,,,,Fire Ant,சிற்றெறும்பு,ல்ஹொவொ மிங்கி3 சவஸு,The fire ant bites,சிற்றெறும்பு கடிக்கும்,insect,corpus_sourashtradictionary
,,மிங்கி3 ப4க்ஷக்,minggi bhakshak,,,,Anteater,எறும்புண்ணி,மிங்கி3 ப4க்ஷகுக் தா3து3ன் ஜுண்ணா,Anteaters have no teeth,எறும்புண்ணிக்கு பற்கள் இல்லை,insect,corpus_sourashtradictionary
,,அம்தி2லொ,amthilo,,,,Anthill,எறும்புப் புற்று,மிங்கி3ன் மத்தி ஹால் அம்தி2லொ ப4ந்த3ஸு,Ants build anthills with the soil,எறும்புகள் மண்ணைக் கொண்டு எறும்புப் புற்றுகளை கட்டும்,insect,corpus_sourashtradictionary
,,வள்மீக்,vaLmeek,,,,Anthill,எறும்புப் புற்று,மிங்கி3ன்கின் ஹுதி3ன் வள்மீகுக் ப4ந்த3யி,Ants and termites build anthills,"எறும்பும், கரையானும் எறும்புப் புற்றைக் கட்டும்",insect,corpus_sourashtradictionary
,,சாடொ,caaTo,,,,Black Garden Ant,கட்டெறும்பு,சாடொ ஸமூஹ ஹப்3பு3னு. தெல்லெ ஸெந்தொவஸஸும் ஜிவஸு,Ants are social insects; they live in colonies,எறும்புகள் சமூகப் பூச்சிகள்; அவை காலனிகளில் வாழ்கின்றன,insect,corpus_sourashtradictionary
,,ம்ஹகி3,mhagi,,,,House Fly,ஈ,ஜு2க்கு ம்ஹகி3னு ரமாரமி 21 தி3ன்னுன் ஜிவஸு,Most flies live an average of 21 days,பெரும்பாலான ஈக்கள் சராசரியாக 21 நாட்கள் வாழ்கின்றன,insect,corpus_sourashtradictionary
,,பிஸ்ளொ,pisLo,,,,Mosquito,கொசு,பெ3ய்லு பிஸ்ளொ ஒண்டேஸ் சவயி,Only female mosquitoes bite,பெண் கொசுக்கள் மட்டுமே கடிக்கும்,insect,corpus_sourashtradictionary
,,ப3ந்தொ3,bando,,,,"Cockroach, Roach",கரப்பான் பூச்சி,ப3ந்தொ3 தொ3ஸ்கொ ந்ஹாத்தக் ஒண்டே வார் லெந்து ஜிவயி,A cockroach can live for up to one week without its head,கரப்பான் பூச்சி தலை இல்லாமல் ஒரு வாரம் வரை உயிர் வாழும்,insect,corpus_sourashtradictionary
,,ஸொக்கள்,sokkaL,,,,"Grasshopper, Locust",வெட்டுக்கிளி,ஸொக்களுக் அபுல் போடுர் கான் ஸே,Grasshoppers have ears on their bellies,வெட்டுக்கிளிகள் தங்கள் வயிற்றில் காதுகளைக் கொண்டுள்ளன,insect,corpus_sourashtradictionary
