sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
ꢮꢶꢭꢵꢱ꣄,विलास्,விலாஸ்,vilaas,vilAs,vilās,ʋɪlɑːs̪,width,அகலம்,,,,Sizes-and-Shapes,words
ꢬꢸꢥ꣄ꢣꢶ,रुन्दि,ருந்தி3,rundi,rundi,rundi,ɾun̪d̪ɪ,width,அகலம்,,,,Sizes-and-Shapes,words
ꢃꢒꢵꢬ꣄,आकार्,ஆகார்,aakaar,AkAr,ākār,ɑːkɑːɾ,size/ structure,அமைப்பு,,,,Sizes-and-Shapes,words
ꢲꢡ꣄ꢡꢸ ꢮꢬ꣄ꢡꢸꢭꣁ,हत्तुवर्दुला॑,ஹத்துவர்துலொ,hattu vartulo',hattu vartulO,hattu vartulŏ,ɦət̪t̪u ʋəɾt̪ulo,hemisphere,அரைவட்டம்,,,,Sizes-and-Shapes,words
ꢱꢪꢵꢥ꣄ꢡꢬꢸ ꢬꢾꢓꢵꢥ꣄,समान्तरु रेखान,ஸமாந்தரு ரேகா2ன்,samaantaru re'khaan,samAntaru rEkhAn,samāntaru rĕkhān,s̪əmɑːn̪t̪əɾu ɾekʰɑːn̪,parallel lines,இணைக்கோடுகள்,,,,Sizes-and-Shapes,words
ꢆꢖ꣄ꢗꣁ,उञ्चा॑,உஞ்சொ,ungcho',uGcO,uṅcŏ,uŋt͡ʃo,height,உயரம்,,,,Sizes-and-Shapes,words
ꢔꣁꢳ꣄,गोळ,கோ3ள்,go'l',gOL,gŏl̤,goɭ,"globe, round",உருண்டை,,,,Sizes-and-Shapes,words
ꢤꢸꢬꢸꢳ꣄,धुरुळ,து4ருள்,dhurul',dhuruL,dhurul̤,d̪ʰuɾuɭ,cylinder,உருளை,,,,Sizes-and-Shapes,words
ꢩꢵꢬ꣄,भार्,பா4ர்,bhaar,bhAr,bhār,bʰɑːɾ,weight,எடை,,,,Sizes-and-Shapes,words
ꢩꣁꢬꢠ,भा॑रण,பொ4ரண்,bho'rana,bhOraNa,bhŏraṇa,bʰoɾəɳə,volume,கன அளவு,,,,Sizes-and-Shapes,words
ꢕꢥꢵꢒꢵꢬ꣄,घनाकार,க4னாகார்,ghanaakaar,ghanAkAr,ghanākār,gʰən̪ɑːkɑːɾ,cube,கன சதுரம்,,,,Sizes-and-Shapes,words
ꢦꢵꢄ~ ꢦꢬꢶꢤꢶ,पाइ~ परिधि,பாஇ~ பரிதி4,paai~ paridhi,pAi~ paridhi,pāi~ paridhi,pɑːɪ~ pəɾɪd̪ʰɪ,Quadrant,கால்வட்டம்,,,,Sizes-and-Shapes,words
ꢒꢸꢳ꣄ꢳꣁ,कुळ्ळा॑,குள்ளொ,kul'l'o',kuLLO,kul̤l̤ŏ,kuɭɭo,short,குட்டை,,,,Sizes-and-Shapes,words
ꢒꢬ꣄ꢠꣁ,कर्णा॑,கர்ணொ,karno',karNO,karṇŏ,kəɾɳo,diameter,குறுக்களவு,,,,Sizes-and-Shapes,words
ꢯꢖ꣄ꢒꢸ,शङ्कु,ஶங்கு,shanku,zaGku,śaṅku,ʃəŋku,cone,கூம்பு,,,,Sizes-and-Shapes,words
ꢔꣂꢭ꣄,गोल,கோ3ள்,gol,gol,gol,goːl,sphere,கோளம்,,,,Sizes-and-Shapes,words
ꢗꢡꢸꢬ꣄,चतुर,சதுர்,chatur,catur,catur,t͡ʃət̪uɾ,square,சதுரம்,,,,Sizes-and-Shapes,words
ꢗꢪꢗꢡꢸꢬ꣄,चमचतुर,ஸமசதுர்,chamachatur,camacatur,camacatur,t͡ʃəmət͡ʃət̪uɾ,cube,சமசதுரம்,,,,Sizes-and-Shapes,words
ꢡꢶꢬ꣄ꢫꢒ꣄ ꢃꢒꢵꢬ꣄,तिर्यक आकार,திர்யக் ஆகார்,tiryak aakaar,tiryak AkAr,tiryak ākār,t̪ɪɾjək ɑːkɑːɾ,slant,சாய்வு,,,,Sizes-and-Shapes,words
ꢃꢫꢡ ꢃꢒꢵꢬ꣄,आयत आकार,ஆயத ஆகார்,aayata aakaar,Ayata AkAr,āyata ākār,ɑːjət̪ə ɑːkɑːɾ,rectangle,செவ்வகம்,,,,Sizes-and-Shapes,words
ꢭꢾꢪ꣄ꢨꣁ,लम्बा॑,லம்பொ3,le'mbo',lEmbO,lĕmbŏ,lembo,length,நீளம்,,,,Sizes-and-Shapes,words
ꢭꢵꢪ꣄,लाम,லாம்,laam,lAm,lām,lɑːm,length,நீளம்,,,,Sizes-and-Shapes,words
