sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
,,முர்க்3யம் கே2ஸ்,murgyam khEs,,,,Wig made of human hair,சவுரிமுடி,பெ3ய்லன் முர்க்3யம் கே2ஸுக் வெணி ஸெரொ ப4ந்து3லஸுன்,Women wear the wig hair with braids,பெண்கள் சவுரி முடியை ஜடையுடன் பின்னுவார்கள்,ornament,corpus_sourashtradictionary
,,குச்சு,kuccu,,,,"Tassel, A decorative item like a cloth ball",குஞ்சம்,வெணி கொனாம் குச்சு ப4ந்து3லனு,A tassel is tied at the end of the braid,பின்னலின் முனையில் குஞ்சம் கட்டிக்கொள்வார்கள்,ornament,corpus_sourashtradictionary
,,பூ4ஷொ,bhoosho,,,,"Jewel, Jewelry",நகை,எல்லெ சித்ரு மொரெ செர்ச்சினிம் பூ4ஷனொ,This painting is the jewel of my collection,இந்த ஓவியம் என் சேகரிப்பின் நகை,ornament,corpus_sourashtradictionary
,,ஸொம்மு,sommu,,,,"Jewel, Jewelry",நகை,மென்க்யான் ஸொம்முனுக் மெனி ஜு2க்கு ஹன்னவ் வேஸ் கெரராஸ்,People spend lot of money on jewels,மக்கள் நகைகளுக்காக நிறைய பணம் செலவழிக்கிறார்கள்,ornament,corpus_sourashtradictionary
,,பூ4ஸுன்,bhoosun,,,,"Ornament, Jewelry","பூஷணம், ஆபரணம்",பூ4ஸுன் கௌதுக் வேன் கெரஸு,Jewelry adds beauty,நகைகள் அழகை கூட்டுகிறது,ornament,corpus_sourashtradictionary
,,ஆப4ரணொ,aabharaNo,,,,"Ornament, Jewelry","பூஷணம், ஆபரணம்",பெ3ய்லன் ஆப4ரணொ க4ல்லிகின் விஶேஷுக் அவனு,Women come to the function wearing jewelry,பெண்கள் நகை அணிந்து விழாவுக்கு வருவார்கள்,ornament,corpus_sourashtradictionary
,,ஜெட்3பு3ளொ,jeDbuLo,,,,Bridal Hair Jewelry,"ராக்கொடி, ஜடை பில்லை, ஜடை வில்லை",தொ3ஸ்காம் பஸ்கட் ஜெட்3பு3ளொ தொ2வன்,The jedbulo is placed at the back of the head,தலையின் பின்புறத்தில் ஜடை வில்லை வைப்பார்கள்,ornament,corpus_sourashtradictionary
,,தொரன்,toran,,,,Hair Brooch Clip,ராக்கொடி தொங்கல்,தொரன் பா4ங்கு3 ஹொல்லொ தகன்,Thoran is an ornament placed on the hair parting,ராக்கொடி மாட்டல் வகிட்டின் மேல் போடப்படும் நகை ஆகும்,ornament,corpus_sourashtradictionary
,,ஸுரிது பி3ந்து3,suritu bindu,,,,Sun shaped hair jewel,சூரிய பிறை,ஸுரிது பி3ந்து3 தொ3ஸ்காக் ஜைனொ பொகட் தொ2வன்,Sun jewel is placed on the right side of the head,சூரிய பிறை நகையை தலையின் வலது பக்கம் வைப்பார்கள்,ornament,corpus_sourashtradictionary
,,செந்தா3மு பி3ந்து3,cendaamu bindu,,,,Moon crescent shaped hair jewel,சந்திர பிறை,செந்தா3மு பி3ந்து3 தொ3ஸ்காக் தை3ரொ பொகட் தொ2வன்,A crescent moon necklace is placed on the left side of the head,சந்திர பிறை நகையை தலையின் இடது பக்கம் வைப்பார்கள்,ornament,corpus_sourashtradictionary
,,பி3ந்தி3,bindi,,,,Beauty mark,பொட்டு,கபா3ல்டு3 ம்ஹத்3தி3 தொ2வரியொ பி3ந்தி3 ஹிந்து3 தெ4ருமு லெக்ஷன்,Bindi placed in the center of the forehead is a symbol of Hinduism,நெற்றியின் மையத்தில் வைக்கப்படும் பொட்டு இந்து மதத்தின் சின்னம்,ornament,corpus_sourashtradictionary
,,பிம்ப3ளம்,pimbaLam,,,,Forehead Jewel,"நெத்திச்சுட்டி, நெற்றிச்சுட்டி",பிம்ப3ளம் மெனரியொ கபா3ல்டு3ர் லொம்ப3ரியொ ஸொம்மு,Pimbalam is a jewel that hangs on the forehead,நெத்திச்சுட்டி என்பது நெற்றியில் தொங்கும் நகை,ornament,corpus_sourashtradictionary
,,மிர்கான்,mirkaan,,,,Side Ear chain,காது மாட்டல்,மிர்கான் மெனரியொ கானும் ஸொவ்ண்டல்லரியொ ஸொம்மு,Mirkan is a jewelry worn over the ears,காது மாட்டல் என்பது காதுகளில் மாட்டிக்கொள்ளும் நகை,ornament,corpus_sourashtradictionary
,,தவ்னட்,tavnaT,,,,"Ear Stud, Earring","கம்மல், காதணி",அஸ்கி பெ3ய்ல்மெனின் தவ்னட் க4ல்லனு,All girls wear earrings,அனைத்து பெண்களும் காதணிகளை அணிவார்கள்,ornament,corpus_sourashtradictionary
,,தர்மட்3,tarmaD,,,,"Ear Stud, Earring",தோடு,தர்மட்3 ஜு2கு3 ரூபுனும் அப்3ப3ரஸி,Earrings are available in various designs,பல்வேறு வடிவமைப்புகளில் காதணிகள் கிடைக்கின்றன,ornament,corpus_sourashtradictionary
,,ஸொரெ,sore,,,,Stud's stem,கம்மல் தண்டு,"தவ்னடு ஸொரெ தெ3ள்கொ ர்ஹியெத், தெல்லெ தய்லத்த வேள் து3க்காயி","If the shaft of the stud is too big, it will be painful to wear it","கம்மல் தண்டு பெரியதாக இருந்தால், அதை அணியும் போது வலி ஏற்படும்",ornament,corpus_sourashtradictionary
,,பி3ல்லொ,billo,,,,Washer,கம்மல் வில்லை,பி3ல்லொ தவ்னடுக் கெ4ட்டி தெ3ல்லஸு,The washer holds the earring tightly,வாஷர் காதணியை இறுக்கமாகப் பிடிக்கிறது,ornament,corpus_sourashtradictionary
,,திர்க்கணி,tirkkaNi,,,,Stud's screw,திருகாணி,தவ்னட் தி4ல்லொ பொட்னாத்தக் ர்ஹாத்தொ திர்க்கணி நுக3ஸு,Screw is used to keep the earrings from loosening,காதணிகள் தளர்ந்துவிடாமல் இருக்க திருகாணி பயன்படுத்தப்படுகிறது,ornament,corpus_sourashtradictionary
,,ஸாலு குந்த3ளம்,saalu kundaLam,,,,Ear Stud worn by Kids,குழந்தைகள் அணியும் கம்மல்,பில்லல்னு கானும் ஸாலு குந்த3ளம் க4லனு,A small earrings is worn in the child's ear,குழந்தையின் காதில் சிறிய கம்மலை அணிவிப்பார்கள்,ornament,corpus_sourashtradictionary
,,குந்த3ளம்,kundaLam,,,,Ear Stud worn by Women,பெண்கள் அணியும் கம்மல்,ஒந்துனுன் குந்த3ளம் க4ல்லனு,Women wear Kundalam in ther ear,பெண்கள் கம்மல் அணிவார்கள்,ornament,corpus_sourashtradictionary
