sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
ꢕꢾꢬꢸꢮ꣄ꢒꢥꢶ,घ॑रुव्कनि,கெ4ருவ்கனி,ghe'ruvkani,ghEruvkani,ghĕruvkani,gʰeɾuʋkən̪ɪ,proudly,அகங்காரமாக,,,,Adverbs,words
ꢮꢶꢭꢵꢱ꣄ꢒꢥꢶ,विलास्कनि,விலாஸ்கனி,vilaaskani,vilAskani,vilāskani,ʋɪlɑːs̪kən̪ɪ,broadly,அகலமாக,,,,Adverbs,words
ꢂꢭꢱꣁꢒꢥꢶ,अलसा॑कनि,அலஸொகனி,alaso'kani,alasOkani,alasŏkani,ələs̪okən̪ɪ,slackly,அசட்டையாக,,,,Adverbs,words
ꢮꢶꢒꢵꢬ꣄ꢒꢥꢶ,विकार्कनि,விகார்கனி,vikaarkani,vikArkani,vikārkani,ʋɪkɑːɾkən̪ɪ,ugly,அசிங்கமாக,,,,Adverbs,words
ꢂꢜꢵꢠ꣄ꢒꢒꢥ꣄,अटाण्ककन्,அடஅண்ககன்,at'aankakan,aTANkakan,aṭāṇkakan,əʈɑːɳkəkən̪,obediently,அடக்க ஒடுக்கமாக,,,,Adverbs,words
ꢩꢮ꣄ꢫꢖ꣄ꢒꢥ꣄,भव्यङ्कन्,ப4வ்யங்கன்,bhavyankan,bhavyaGkan,bhavyaṅkan,bʰəʋjəŋkən̪,obediently,அடக்கமாக,,,,Adverbs,words
ꢧꢶꢬꢶꢧꢶꢬꢶ,फिरिफिरि,பி2ரிபி2ரி,phiriphiri,phiriphiri,phiriphiri,pʰɪɾɪpʰɪɾɪ,"frequently, often",அடிக்கடி,,,,Adverbs,words
ꢡꢾꢬ꣄ꢱꢸ,त॑र्सु,தெர்ஸு,te'rsu,tErsu,tĕrsu,t̪eɾs̪u,"frequently, often",அடிக்கடி,,,,Adverbs,words
ꢭꢾꢔꢸꢡꣁ,ल॑गुता॑,லெகு3தொ,le'guto',lEgutO,lĕgutŏ,legut̪o,next,அடுத்ததாக,,,,Adverbs,words
ꢧꢬꢡꢸ,फरतु,ப2ராது,pharatu,pharatu,pharatu,pʰəɾət̪u,next,அடுத்ததாக,,,,Adverbs,words
