sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
ꢒꢹꢬ꣄ꢪꣁ,कुर्मा॑,கூர்மொ,koormo',kUrmO,kūrmŏ,kuːɾmo,tortoise,ஆமை,,,,Water-Animals,words
ꢒꢱ꣄ꢦꣁ,कस्पा॑,கஸ்பொ,kaspo',kaspO,kaspŏ,kəs̪po,tortoise,ஆமை,,,,Water-Animals,words
ꢡꢪ꣄ꢨꢭ꣄ꢗꢶꢦ꣄ꢦꣁ,तम्बल्चिप्पा॑,தம்ப3ள்சிப்பொ,tambalchippo',tambalcippO,tambalcippŏ,t̪əmbəlt͡ʃɪppo,tortoise,ஆமை,,,,Water-Animals,words
ꢓꢾꢱꢸꢭꣁ,खेसुला॑,கெ2ஸூலொ,khe'sulo',khEsulO,khĕsulŏ,kʰes̪ulo,prawn,இறால்,,,,Water-Animals,words
ꢒꢾꢜ꣄ꢜꢸ ꢱꢵꢦ꣄,क॑ट्टु साप्,கெட்டு ஸாப்,ke't't'u saap,kETTu sAp,kĕṭṭu sāp,keʈʈu s̪ɑːp,viper,கட்டுவிரியன்,,,,Water-Animals,words
ꢱꢪꢸꢣ꣄ꢬꢸ ꢒꢱ꣄ꢦꣁ,समुद्रु कस्पा॑,ஸமுத்3ருகஸ்பொ,samudru kaspo',samudru kaspO,samudru kaspŏ,s̪əmud̪ɾu kəs̪po,turtle,கடலாமை,,,,Water-Animals,words
ꢱꢵꢬ ꢱꢵꢦ꣄,सार साप्,ஸாரஸாப்,saara saap,sAra sAp,sāra sāp,s̪ɑːɾə s̪ɑːp,a kind of land snake,சாரைப்பாம்பு,,,,Water-Animals,words
ꢔꢶꢭ꣄ꢒꢵꢫ꣄ꢱꢵꢦ꣄,गिल्काय्साप,கி3ல்காய்ஸாப்,gilkaaysaap,gilkAysAp,gilkāysāp,gɪlkɑːjs̪ɑːp,rattle snake,கிலுப்பைப் பாம்பு,,,,Water-Animals,words
ꢒꣁꢪ꣄ꢨꢬꢶ ꢱꢵꢦ꣄,का॑म्बरि साप्,கொம்ப3ரிஸாப்,ko'mbari saap,kOmbari sAp,kŏmbari sāp,kombəɾɪ s̪ɑːp,Akind of poisonous snake,கொம்பேறிமூர்க்கன்,,,,Water-Animals,words
ꢱꢷꢦ꣄,सीप्,ஸீப்,seep,sIp,sīp,s̪iːp,Oyster/shell fish,சிப்பி,,,,Water-Animals,words
