sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
ꢔꢵꢫ꣄,गाय्,கா3ய்,gaay,gAy,gāy,gɑːj,cow,ஆ,,,,Animals,words
ꢩꢾꢠ꣄ꢞꢸ,भ॑ण्डु,பெ4ண்டு3,bhe'nd'u,bhENDu,bhĕṇḍu,bʰeɳɖu,lamb,ஆடு,,,,Animals,words
ꢔꢵꢫ꣄ ꢔꣁꢬꢸꢥ꣄,गाय घा॑रुन्,கா3ய்கொ3ருன்,gaay go'run,gAy gOrun,gāy gŏrun,gɑːj goɾun̪,cattle,ஆடுமாடு,,,,Animals,words
ꢦꣁꢡꢸꢭꣁ,पा॑दुला॑,பொ3து3லொ,po'tulo',pOtulO,pŏtulŏ,pot̪ulo,bull,எருது,,,,Animals,words
ꢩꢾꢫ꣄ꢱ꣄,भ॑य्स्,பெ4ய்ஸ்,bhe'ys,bhEys,bhĕys,bʰejs̪,she-buffalo,எருமை,,,,Animals,words
ꢩꢾꢫ꣄ꢱꢸ꣄ ꢦꣁꢡꢸꢭꣁ,भ॑य्सुबा॑दुला॑,பெ4ய்ஸுபொ3து3லொ,bhe'ysu po'tulo',bhEysu pOtulO,bhĕys_ŭ pŏtulŏ,bʰejs̪u pot̪ulo,he-buffalo,எருமைக் கடா,,,,Animals,words
ꢪꢸꢫꢶ. ꢭꣁꢭ꣄ꢦꢣꢾ,मुयि,முயி,muyi. lo'lpade',muyi. lOlpadE,muyi. lŏlpadĕ,mujɪ. lolpəd̪e,camel,ஒட்டகம்,,,,Animals,words
ꢦꣁꢡꢸꢭꣁ,बा॑दुला॑,பொ3து3லொ,po'tulo',pOtulO,pŏtulŏ,pot̪ulo,ram,கடா,,,,Animals,words
ꢕꢾꢣꢞ꣄,घ॑दड,கெ4த3ட்3,ghe'dad',ghEdaD,ghĕdaḍ,gʰed̪əɖ,donkey,கழுதை,,,,Animals,words
ꢣꢸꢞꣁ,दुडा॑,து3டொ3,dud'o',duDO,duḍŏ,d̪uɖo,calf,கன்று,,,,Animals,words
ꢮꢵꢱꢬ꣄,वासर,வாஸர்,vaasar,vAsar,vāsar,ʋɑːs̪əɾ,calf,கன்று,,,,Animals,words
ꢔꣁꢖ꣄ꢔꢸ,गा॑ङगु,கொ3ங்கு3,go'ngu,gOGgu,gŏṅgu,goŋgu,cattle,மந்தை,,,,Animals,words
ꢔꣁꢬꢸ,गा॑रु,கொ3ரு,go'ru,gOru,gŏru,goɾu,ox,காளை,,,,Animals,words
ꢕꣁꢞꣁ,घा॑डा॑,கொ4டொ3,gho'd'o',ghODO,ghŏḍŏ,gʰoɖo,horse,குதிரை,,,,Animals,words
ꢒꢷꢱ꣄,कीस्,கீஸ்,kees,kIs,kīs,kiːs̪,monkey,குரங்கு,,,,Animals,words
ꢦꣁꢭꢥ꣄ꢔꢸ,पा॑लङ्गु,பொலங்கு3,po'langu,pOlangu,pŏlangu,polən̪gu,monkey,குரங்கு,,,,Animals,words
