sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
,,பெய்னொ,peyno,,,,Journey,பயணம்,பெய்னொ ஆங்கு3க்கின் மொன்னுக் ஶ்ரமொபரிஹார் கெரஸு,Journey refreshes body and mind,பயணம் உடலுக்கும் மனதுக்கும் புத்துணர்ச்சி அளிக்கிறது,travel,corpus_sourashtradictionary
,,யாத்ரொ,yaatro,,,,Pilgrimage,யாத்திரை,கஸிக் யாத்ரா ஜாத்தக் ஜு2கு3தெங்கொ3 ஆஸ்தொ ஸே,Many have a desire to go on a pilgrimage to Kashi,காசிக்கு யாத்திரை போக பலருக்கு ஆசை உள்ளது,travel,corpus_sourashtradictionary
,,வாட் ஸார்வொ,vaaT saarvo,,,,Long journey,தொலைதூர பயணம்,தெனு வளுராணும் வாட் ஸார்வொ கெர்யாஸி,They went on a long journey across the desert,அவர்கள் பாலைவனத்தில் தொலைதூரம் பயணித்தார்கள்,travel,corpus_sourashtradictionary
,,"ப்ரயாண், யாத்ரொ","prayaaN, yaatro",,,,Travel,பயணம்,தெ2வ்டெ3 பணைதுன் ஒர்ஸுதிஸூ பெய்னொ கெரஸுன்,Some traders travel throughout the year,சில வணிகர்கள் ஆண்டு முழுவதும் பயணம் செய்கிறார்கள்,travel,corpus_sourashtradictionary
,,பிஜத்தெ,pijatte,,,,Traveling,பயணம் செய்தல்,முயி ஹொல்லொ பெய்னொ கெரத்தெ கௌதுகன் ர்ஹாயி,Traveling on a camel can be a lot of fun,ஒட்டகத்தில் பயணம் செய்வது மிகவும் வேடிக்கையாக இருக்கும்,travel,corpus_sourashtradictionary
,,ஸவாரி,savaari,,,,Ride,பயணம்,ரோட்டர்டா3மு ஸ்பிளாஷ் மெனெத்தெ ம்ஹொடொ3பொ3ண்டி3 பனிம் கா2ல் ஸவாரி கெரஸு,The Splash Bus in Rotterdam rides underwater,ரோட்டர்டாமில் ஸ்பிளாஷ் எனும் பேருந்து நீருக்கடியில் சவாரி செய்கிறது,travel,corpus_sourashtradictionary
,,வாடு3 பெய்னொ,vaaDu peyno,,,,Travel snacks,பயண சிற்றுண்டி,"வாடு3 பெய்னொகன் தெந்துலொ, லட்3டு3, புரினுக் க2ல்லி ஜாஸுன்","They carry Murukku, Laddu, Athirasam as traveling snacks","பயண சிற்றுண்டிகளாக முறுக்கு, லட்டு, அதிரசங்களை எடுத்துச் செல்கின்றனர்",travel,corpus_sourashtradictionary
,,"பாந்து, யாத்ரி","paantu, yaatri",,,,Traveler,பயணி,எச்சட3த்தெங்கொ3 ஜொவள் பாந்துன் ஜாக்3ரதொகன் ர்ஹனொ,Travelers should be beware of cheaters,ஏமாற்றுபவர்களிடம் பயணிகள் கவனமாக இருக்க வேண்டும்,travel,corpus_sourashtradictionary
,,பர்யடன்,paryaTan,,,,"Tour, Excursion","சுற்றுப்பயணம், சுற்றுலா",மென்க்யான் ஒர்ஸுதிஸூ பர்யடன் ஜாஸுனு,People keep touring througout the year,மக்கள் ஆண்டு முழுவதும் சுற்றுப்பயணம் செய்கிறார்கள்,travel,corpus_sourashtradictionary
,,பர்யடொ,paryaTo,,,,Tourist,சுற்றுலா பயணி,மஹாப3லிபுரமு ஜு2கு3 விதே3ஶு பர்யடானுக் ஸவாயி,A large number of foreign tourists can be found in Mahabalipuram,மகாபலிபுரத்தில் ஏராளமான வெளிநாட்டு சுற்றுலாப் பயணிகளைக் காணலாம்,travel,corpus_sourashtradictionary
,,லங்கி3 ஜாத்தெ,langgi jaatte,,,,To cross,கடந்து செல்தல்,ஸீதாதே3விக் மிளத்தக் ஹன்மந்து ஸுந்து3ருக் லங்கி3 ஜியாஸி,Hanuman crossed the ocean to meet Sita Devi,சீதாதேவியை சந்திக்க அனுமான் கடலை கடந்து சென்றார்,travel,corpus_sourashtradictionary
,,பெய்னாபெடி,peynaapeTi,,,,Suitcase,கைப்பெட்டி,ஒண்டெ ராது ப்ரயாணுக் பெய்னாபெடி பு2ரொ,A suitcase is enough for an overnight trip,ஒரு இரவு பயணத்திற்கு சூட்கேஸ் போதுமானது,travel,corpus_sourashtradictionary
,,பெய்னா ஜமான்,peynaa jamaan,,,,"Luggage, Baggage",பயணச் சாமான்கள்,பெய்னா வேள் ஜமானுன் உன்னொகன் தொ2வ்லுவொ,Keep luggage to a minimum while travelling,பயணத்தின் போது சாமான்களை குறைவாக வைத்திருங்கள்,travel,corpus_sourashtradictionary
,,மொள்டி,moLTi,,,,Bundle,"மூட்டை, கட்டு",ஹன்னவ் மொள்டி கோஸெ?,Where is the money bundle?,பண மூட்டை எங்கே?,travel,corpus_sourashtradictionary
,,மொள்டொ,moLTo,,,,Bundle,மூட்டை,பி2ல்லியெ பொ3ட்டானுக் ஒண்டெ மொள்டாம் ப4ந்தி3 தொ2வொ,Pack the used clothes in a bundle,உடுத்திய துணிகளை ஒரு மூட்டையில் கட்டி வைக்கவும்,travel,corpus_sourashtradictionary
,,க4ந்த்ரொ,ghantro,,,,Bundle,"மூட்டை, பொதி",பூ3ரு ஹால் க4ந்த்ரொ ப4ந்து3வொ,Tie the bundle with palm leaf rope,பனை ஓலைக் கயிற்றால் மூட்டையைக் கட்டவும்,travel,corpus_sourashtradictionary
,,ப4ந்தி3னி,bhandini,,,,"Packing, Parcel, Package","மூட்டை கட்டுதல், பொட்டலம்","ப4ந்தி3னி ந்ஹன்னகன் ர்ஹியெத், க2ல்லி ஜாத்தெ ஸுல்ப்3யமு","The smaller the packing, the easier it is to carry","மூட்டை சிறியதாக இருந்தால், எடுத்துச் செல்வது எளிது",travel,corpus_sourashtradictionary
,,வாட்,vaaT,,,,"Path, Track, Way",வழி,அகாஸும் மெல்லொ வாடுன் ஸே,Even in the sky there are paths,வானத்தில் கூட பாதைகள் உள்ளன,travel,corpus_sourashtradictionary
,,வாட்தெ3க்கட்னி,vaaTdekkaTni,,,,Signpost,வழிகாட்டி,"ரெஸ்தொ செரத்தேட், வாட்தெ3க்கட்னிக் ஸவாய்",Signpost can be found at the road junction,"சாலை சந்திப்பில், வழிகாட்டி பலகையை காணலாம்",travel,corpus_sourashtradictionary
,,வாட்ஸராவ்,vaaTsaraav,,,,"Pavement, Pathway",நடைபாதை,வாட்ஸராவும் சலத்தக் தா2ம் ந்ஹீ,There is no place to walk on the pavement,நடைபாதையில் நடக்க இடமில்லை,travel,corpus_sourashtradictionary
,,ரெஸ்தொ,resto,,,,Road,சாலை,ரெஸ்தாக் ஸீஸொரி த3டுனொ,Should cross the road safely,சாலையை பாதுகாப்பாக கடக்க வேண்டும்,travel,corpus_sourashtradictionary
,,ல்ஹொகணு ரெஸ்தொ,lhokaNu resto,,,,Rail,தண்டவாளம்,ஒண்டெ ல்ஹொகணு ரெஸ்தொ 42 பௌல் (13 மீ) ர்ஹாயி,The length of one rail will be 42 feet (13 m),ஒரு தண்டவாளம் 42 அடி (13 மீ) இருக்கும்,travel,corpus_sourashtradictionary
,,ஊபொ3ண்டி3 வாட்,uuboNDi vaaT,,,,"Railways, Railway track",இருப்புப்பாதை,"பா4ரதும் 65,000 கி.மீ ஊபொ3ண்டி3 வாட் ஸே","India has 65,000 km of railway track","இந்தியாவில் 65,000 கி.மீ இருப்புப்பாதை உள்ளது",travel,corpus_sourashtradictionary
,,ரெஸ்தொ வாட்,resto vaaT,,,,Roadways,சாலைவழி,பா4ரது ரெஸ்தா வாடு பு4லோகும் தி3வ்வா ம்ஹொட்டொ ரெஸ்தா வாடு,Indian Roadways is the second-largest roadways in the world,இந்திய சாலைவழி உலகின் இரண்டாவது பெரிய சாலைவழி ஆகும்,travel,corpus_sourashtradictionary
,,மஹாரெஸ்தொ,mahaaresto,,,,Highways,நெடுஞ்சாலை,ராஷ்ட்ரீயகின் ராஜ்ய மஹாரெஸ்தானுன் பா4ரது ஒண்டொண்டெ மூலாக் செர்ச்சரஸி,National and state highways connect every corner of India,தேசிய மற்றும் மாநில நெடுஞ்சாலைகள் இந்தியாவின் ஒவ்வொரு மூலையையும் இணைக்கின்றன,travel,corpus_sourashtradictionary
