sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
ꢂꢖ꣄ꢔꢶꢞꢶ,अङगिडि,அங்கி3டி3,angid'i,aGgiDi,aṅgiḍi,əŋgɪɖɪ,"shop, market",அங்காடி,,,,Trade,words
ꢂꢖ꣄ꢔꢷꢒꢵꢬ꣄,अङगीकार्,அங்கீ3கார்,angeekaar,aGgIkAr,aṅgīkār,əŋgiːkɑːɾ,approval,அங்கீகாரம்,,,,Trade,words
ꢒꢸꢣꢵꢖ꣄ꢔꢶꢞꢶ,कुदाङकिडि,குதா3ங்கி3டி3,kudaangid'i,kudAGgiDi,kudāṅgiḍi,kud̪ɑːŋgɪɖɪ,pawn broker,அடகுக்கடை,,,,Trade,words
ꢱꢲꢫꣁꢔ꣄,सहयोग,ஸஹயோக்3,sahayo'g,sahayOg,sahayŏg,s̪əɦəjog,support,ஆதரவு,,,,Trade,words
ꢃꢣꢵꢮ꣄,आदाव्,ஆதா3வ்,aadaav,AdAv,ādāv,ɑːd̪ɑːʋ,profit,ஆதாயம்,,,,Trade,words
ꢌꢥ꣄ꢡꢸꢬ꣄,ए॑न्तुर्,எந்துர்,e'ntur,Entur,ĕntur,en̪t̪uɾ,machine,இயந்திரம்,,,,Trade,words
ꢲꢹꢣꢵꢬ,हूदार,ஹூதா3ர்,hoodaara,hUdAra,hūdāra,ɦuːd̪ɑːɾə,borrowal,இரவல்,,,,Trade,words
ꢬꢴꢥꢶ,र्हनि,ர:னி,rhani,rhani,rhani,ɾɦən̪ɪ,stock,இருப்பு,,,,Trade,words
ꢔꣁꢱ꣄,गोस,கோ3ஸ்,go's,gOs,gŏs,gos̪,free,இலவசம் / இனாம்,,,,Trade,words
ꢥꢶꢱ꣄ꢱꢸꢭ꣄ꢒꣁ,निस्सुल्का॑,நிஸ்ஸுல்கொ,nissulko',nissulkO,nissulkŏ,n̪ɪs̪s̪ulko,free,இலவசம் / இனாம்,,,,Trade,words
ꢲꢸꢡ꣄ꢬꢵꢮ꣄,हुत्राव,ஹுத்ராவ்,hutraav,hutrAv,hutrāv,ɦut̪ɾɑːʋ,import,இறக்குமதி,,,,Trade,words
ꢕꢸꢪ꣄ꢦꢸ,घुम्पु,கு3ம்பு,ghumpu,ghumpu,ghumpu,gʰumpu,variety,இனம்,,,,Trade,words
ꢔꣂꢱ꣄,गोस्,கோ3ஸ்,gos,gos,gos,goːs̪,free,இனாம்,,,,Trade,words
