sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
ꢣꣁꢨ꣄ꢨꢶ,दा॑ब्बि,தொ3ப்3பி3,do'bbi,dObbi,dŏbbi,d̪obbɪ,keepwide,அகட்டு,,,,Simple-Verbs,words
ꢙꢵ,जा,ஜா,jaa,jA,jā,d͡ʒɑː,go away,அகல்,,,,Simple-Verbs,words
ꢒꢹꢔ꣄,कूग,கூக்3,koog,kUg,kūg,kuːg,cock,அகவு,,,,Simple-Verbs,words
ꢲꢿꢜ꣄,हेट्,ஹேட்,het',heT,heṭ,ɦeːʈ,"remove, separate",அகற்று,,,,Simple-Verbs,words
ꢂꢖ꣄ꢔꢶꢒꢵꢬ꣄,अङ꣄किकार्,அங்கி3கார்,angikaar,aGgikAr,aṅgikār,əŋgɪkɑːɾ,recognize,அங்கீகரி,,,,Simple-Verbs,words
ꢲꢭ꣄ꢭꢵꢜ꣄,हल्लाट्,ஹல்லாட்,hallaat',hallAT,hallāṭ,ɦəllɑːʈ,to move,அசை,,,,Simple-Verbs,words
ꢆꢜ꣄ꢔꢵꢜ꣄,उट्गाट्,உட்3கா3ட்,ut'gaat',uTgAT,uṭgāṭ,uʈgɑːʈ,subdue,அடக்கு,,,,Simple-Verbs,words
ꢆꢜ꣄ꢔꢶ,उट्गि,உட்3கி3,ut'gi,uTgi,uṭgi,uʈgɪ,to be subdued,அடங்கு,,,,Simple-Verbs,words
ꢲꢵꢥ꣄,हान्,ஹான்,haan,hAn,hān,ɦɑːn̪,beat,அடி,,,,Simple-Verbs,words
ꢭꢥ꣄ꢣꢶ,लन्दि,லந்தி3,landi,landi,landi,lən̪d̪ɪ,approach,அடு,,,,Simple-Verbs,words
ꢱꢾꢥ꣄ꢡꢶ,स॑न्ति,ஸெந்தி,se'nti,sEnti,sĕnti,s̪en̪t̪ɪ,arrange,அடுக்கு,,,,Simple-Verbs,words
ꢙꢷ ꢗꢿꢬ꣄,जी चेर्,ஜீசேர்,jee cher,jI cer,jī cer,d͡ʒiː t͡ʃeːɾ,To reach,அடை,,,,Simple-Verbs,words
ꢚꢵꢔꢶ,झागि,ஜா2கி3,jhaagi,jhAgi,jhāgi,d͡ʒʰɑːgɪ,close,அடை,,,,Simple-Verbs,words
