sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
ꢂꢒ꣄ꢒꢬꣁꢓꢳ꣄ꢳꢿ,अक्करा॑ खळ्ळे,அக்கரொ க2ள்ளே,akkaro'khal'l'e,akkarOkhaLLe,akkarŏkhal̤l̤e,əkkəɾokʰəɭɭeː,get interested,அக்கறைகொள்,,,,Compound-Verbs,words
ꢂꢨ꣄ꢨꢶꢥꢶ ꢦꣂꢜ꣄,अब्बिनि पोट,அப்3பி3னிபோட்,abbini pot',abbini poT,abbini poṭ,əbbɪn̪ɪ poːʈ,be caught,அகப்படு,,,,Compound-Verbs,words
ꢤꢒ꣄ꢒꢶ ꢬꢴꢵ,धक्कि र्हा,த4க்கி ரா:,dhakki rhaa,dhakki rhA,dhakki rhā,d̪ʰəkkɪ ɾɦɑː,be afraid of,அச்சப்படு,,,,Compound-Verbs,words
ꢤꢒ꣄ꢒꢵꢜ꣄,दक्काट,த4க்காட்,dhakkaat',dhakkAT,dhakkāṭ,d̪ʰəkkɑːʈ,horrify,அச்சமூட்டு,,,,Compound-Verbs,words
ꢂꢗ꣄ꢗꢸ ꢡꢵꢫ꣄,अच्चु ताय,அச்சு தாய்,achchu taay,accu tAy,accu tāy,ət͡ʃt͡ʃu t̪ɑːj,print,அச்சிடு,,,,Compound-Verbs,words
ꢪꢸꢣ꣄ꢬꢶꢠꢶ ꢒꢾꢬ꣄,मुद्रणि केर,முத்3ரிணி கேர்,mudrini ke'r,mudriNi kEr,mudriṇi kĕr,mud̪ɾɪɳɪ keɾ,print,அச்சிடு,,,,Compound-Verbs,words
ꢤꢵꢒ꣄ ꢕꢵꢭ꣄,दाघ घाल,தா4க் கா4ல்,dhaak ghaal,dhAk ghAl,dhāk ghāl,d̪ʰɑːk gʰɑːl,terrify,அச்சுறுத்து,,,,Compound-Verbs,words
ꢔꢵꢭꢸꢪ꣄ ꢢꣁꢮ꣄ꢭꢶ ꢭꢸꢨ꣄ꢨꢶ,गालुम थोव्लि लुब्बि,கா3லும் தொ2வ்லி லுப்3பி3,gaalum tho'vli lubbi,gAlum thOvli lubbi,gālum thŏvli lubbi,gɑːlum t̪ʰoʋlɪ lubbɪ,Ruminate/chew,அசைபோடு,,,,Compound-Verbs,words
ꢆꢞ꣄ꢔꢞꢶ ꢢꣁꢮ꣄,उड्गडि तोव,உட்3க3டி3 தோ2வ்,ud'gad'i tho'v,uDgaDi thOv,uḍgaḍi thŏv,uɖgəɖɪ t̪ʰoʋ,Quell/ control,அடக்கிவை,,,,Compound-Verbs,words
ꢕꢵꢪ꣄ ꢭꢔꢳ꣄ꢳꢿ,घाम् लगळ्ळे,கா4ம் லக3ள்ளே,ghaam lagal'l'e,ghAm lagaLLe,ghām lagal̤l̤e,gʰɑːm ləgəɭɭeː,get wounded,அடிபடு,,,,Compound-Verbs,words
ꢓꢵꢭ꣄ ꢦꣂꢜ꣄,खाल्पोट्,கா2ல்போட்,khaal pot',khAl poT,khāl poṭ,kʰɑːl poːʈ,become subordinate,அடிபணி,,,,Compound-Verbs,words
