sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
ꢂꢠ꣄ꢗꢸ ꢮꢔꢡꢶ,अण्चुव गति,அண்சுவ க3தி,anchu vagati,aNcu vagati,aṇcu vagati,əɳt͡ʃu ʋəgət̪ɪ,suppression,அடக்குமுறை,,,,Law-and-Order,words
ꢂꢥ꣄ꢫꢵꢮ꣄,अन्याव,அந்யாவ்,anyaav,anyAv,anyāv,ən̪jɑːʋ,injustice,அநியாயம்,,,,Law-and-Order,words
ꢂꢒ꣄ꢬꢪꣁ,अक्रमा॑,அக்ரமொ,akramo',akramO,akramŏ,əkɾəmo,injustice,அநியாயம்,,,,Law-and-Order,words
ꢂꢞꢡ꣄,अडात,அடா3த்,ad'at,aDat,aḍat,əɖət̪,injustice,அநியாயம்,,,,Law-and-Order,words
ꢂꢞꢵꢡ꣄,अडात,அடா3த்,ad'aat,aDAt,aḍāt,əɖɑːt̪,injustice,அநீதி,,,,Law-and-Order,words
ꢃꢥꢷꢞꢶ,अनीदि,அநீதி3,aaneed'i,AnIDi,ānīḍi,ɑːn̪iːɖɪ,injustice,அநீதி,,,,Law-and-Order,words
ꢂꢦꢬꢵꢤ꣄,अपराध,அப்ராத்4,aparaadh,aparAdh,aparādh,əpəɾɑːd̪ʰ,fine,அபராதம்,,,,Law-and-Order,words
ꢂꢪꢭ꣄,अमल्,அமல்,amal,amal,amal,əməl,"in force, implement",அமல்,,,,Law-and-Order,words
ꢦꢬꢶꢦꢵꢭꢥꣁ,परिपालना॑,பரிபாலனொ,paripaalano',paripAlanO,paripālanŏ,pəɾɪpɑːlən̪o,"in force, implement",அமல்,,,,Law-and-Order,words
ꢬꢾꢗ꣄ꢗꢒꢹꢡ꣄,र॑च्चकूत,ரெச்சகூத்,re'chchakoot,rEccakUt,rĕccakūt,ɾet͡ʃt͡ʃəkuːt̪,pandemonium,அமளி,,,,Law-and-Order,words
ꢂꢬꢵꢙꢒꢡꣁ,अराजकता॑,அராஜகதொ,araajakato',arAjakatO,arājakatŏ,əɾɑːd͡ʒəkət̪o,pandemonium,அமளி,,,,Law-and-Order,words
ꢂꢭꢲꣁ,कलहा॑,கலஹொ,alaho',alahO,alahŏ,ələɦo,pandemonium,அமளி,,,,Law-and-Order,words
ꢃꢙ꣄ꢛꣁ,आझञो,ஆஜ்ஞொ,aajnyo',AjJO,ājñŏ,ɑːd͡ʒɲo,order,ஆணை/ உத்தரவு/கட்டளை,,,,Law-and-Order,words
ꢆꢡ꣄ꢡꢬ꣄,उत्तर,உத்தர்,uttar,uttar,uttar,ut̪t̪əɾ,order,ஆணை/ உத்தரவு/கட்டளை,,,,Law-and-Order,words
ꢃꢙ꣄ꢛꢵꢒꢵꢬ꣄,आजञाकार,ஆஜ்ஞாகார்,aajnyaakaar,AjJAkAr,ājñākār,ɑːd͡ʒɲɑːkɑːɾ,commissioner,ஆணையர்,,,,Law-and-Order,words
ꢂꢤꢵꢬ꣄,अधार्,அதா4ர்,adhaar,adhAr,adhār,əd̪ʰɑːɾ,evidence,ஆதாரம்,,,,Law-and-Order,words
ꢬꢸꢙꢸ,रुजु,ருஜு,ruju,ruju,ruju,ɾud͡ʒu,evidence,ஆதாரம்,,,,Law-and-Order,words
ꢱꣂꢤꢥꣁ ꢒꢾꢬ꣄ꢥꢵꢬ꣄,सोधना॑ क॑र्नार,ஸோத4னொ கெர்னார்,sodhano' ke'rnaar,sodhanO kErnAr,sodhanŏ kĕrnār,s̪oːd̪ʰən̪o keɾn̪ɑːɾ,inspector,ஆய்வாளர்,,,,Law-and-Order,words
ꢱꣁꢤꢸꢥꢵꢬ꣄,सोधुनार,ஸோது4னார்,so'dhunaar,sOdhunAr,sŏdhunār,s̪od̪ʰun̪ɑːɾ,inspector,ஆய்வாளர்,,,,Law-and-Order,words
ꢂꢫ꣄ꢣꢸꢦꢳꣁ,अय्दुपळा॑,அய்து3பளொ,aydupal'o',aydupaLO,aydupal̤ŏ,əjd̪upəɭo,armed force,ஆயுதப்படை,,,,Law-and-Order,words
ꢱꢾꢥ,सेन,ஸேன,se'na,sEna,sĕna,s̪en̪ə,armed force,ஆயுதப்படை,,,,Law-and-Order,words
ꢃꢫꢸꢱ꣄ꢣꢾꢠ꣄ꢞꢥꣁ,आयुद॑ण्ड्ना॑,ஆயுஸ்தெ3ண்ட3னொ,aayusde'nd'ano',AyusdENDanO,āyusdĕṇḍanŏ,ɑːjus̪d̪eɳɖən̪o,life imprisonment,ஆயுள் தண்டனை,,,,Law-and-Order,words
ꢃꢬ꣄ꢩꢵꢜꣁ,अर्भाटा॑,ஆர்பா4டொ,aarbhaat'o',ArbhATO,ārbhāṭŏ,ɑːɾbʰɑːʈo,uproar,ஆர்ப்பாட்டம்,,,,Law-and-Order,words
ꢬꢾꢗ꣄ꢗꢵ ꢬꢾꢗ꣄ꢗꣁ,र॑च्चा॑र॑च्चा॑,ரெச்சாரெச்சொ,re'chchaa re'chcho',rEccA rEccO,rĕccā rĕccŏ,ɾet͡ʃt͡ʃɑː ɾet͡ʃt͡ʃo,uproar,ஆர்ப்பாட்டம்,,,,Law-and-Order,words
ꢦꢡ꣄ꢬꣁ,पत्रा॑,பத்ரொ,patro',patrO,patrŏ,pət̪ɾo,record,ஆவணம்,,,,Law-and-Order,words
ꢣꢱ꣄ꢡꢵꢮꢾꢙ꣄,दस्तावेज,த3ஸ்தாவேஜ்,dastaave'j,dastAvEj,dastāvĕj,d̪əs̪t̪ɑːʋed͡ʒ,record,ஆவணம்,,,,Law-and-Order,words
ꢩꢵꢬꢡ ꢣꢠ꣄ꢞꢥꢵ ꢱꢵꢱꢥꣁ,भारत दण्डना सासना॑,பா4ரத த3ண்ட3னா ஸாஸனொ,bhaarata dand'anaa saasano',bhArata daNDanA sAsanO,bhārata daṇḍanā sāsanŏ,bʰɑːɾət̪ə d̪əɳɖən̪ɑː s̪ɑːs̪ən̪o,Indian Penal Code,இந்தியக் குற்றவியல் சட்டம்,,,,Law-and-Order,words
ꢱꢖ꣄ꢒꢪ꣄,सङकम्,ஸங்க3ம்,sankam,saGkam,saṅkam,s̪əŋkəm,movement,இயக்கம்,,,,Law-and-Order,words
ꢱꢪ꣄ꢱ꣄ꢡꢵꢥ꣄,सम्स्तान्,ஸம்ஸ்தான்,samstaan,samstAn,samstān,s̪əms̪t̪ɑːn̪,movement,இயக்கம்,,,,Law-and-Order,words
ꢒꢸꢭꢥꢵꢱ꣄,कुलनास्,குலநாஸ்,kulanaas,kulanAs,kulanās,kulən̪ɑːs̪,genocide,இனப்படுகொலை,,,,Law-and-Order,words
ꢆꢗ꣄ꢗ ꢥ꣄ꢫꢵꢫꢵꢭꢫꣁ,उच्च न्यायालया॑,உச்ச ந்யாயாலயொ,uchcha nyaayaalayo',ucca nyAyAlayO,ucca nyāyālayŏ,ut͡ʃt͡ʃə n̪jɑːjɑːləjo,Supreme Court,உச்சநீதிமன்றம்,,,,Law-and-Order,words
ꢆꢦꢮꢵꢱ꣄,उपवास,உபவாஸ்,upavaas,upavAs,upavās,upəʋɑːs̪,hunger strike,உண்ணாவிரதம்,,,,Law-and-Order,words
ꢆꢛ꣄ꢗꢵ ꢥ꣄ꢫꢵꢫꢵꢭꢫꣁ,उञ्चा न्यायालया॑,உஞ்சா ந்யாயாலயொ,unchaa nyaayaalayo',uJcA nyAyAlayO,uñcā nyāyālayŏ,uɲt͡ʃɑː n̪jɑːjɑːləjo,High Court,உயர்நீதிமன்றம்,,,,Law-and-Order,words
ꢄꢗ꣄ꢗꢵ ꢦꢡ꣄ꢬꢸ,इच्चा पत्रु,இச்சா பத்ரு,ichchaa patru,iccA patru,iccā patru,ɪt͡ʃt͡ʃɑː pət̪ɾu,will,உயில்,,,,Law-and-Order,words
ꢂꢥꢸꢪꢡꢶꢨꢶꢭ꣄ꢭꣁ,अनुमतिबिल्ला॑,அனுமதி பி3ல்லொ,anumatibillo',anumatibillO,anumatibillŏ,ən̪umət̪ɪbɪllo,licence,உரிமம்,,,,Law-and-Order,words
ꢨꢵꢣ꣄ꢫꢡꣁ,बाद्यता॑,பா3த்3யதொ,baadyato',bAdyatO,bādyatŏ,bɑːd̪jət̪o,licence,உரிமம்,,,,Law-and-Order,words
ꢨꢵꢣ꣄ꢫꢡꣁ,बाद्यता॑,பா3த்3யதொ,baadyato',bAdyatO,bādyatŏ,bɑːd̪jət̪o,right,உரிமை,,,,Law-and-Order,words
ꢂꢤꢶꢒꢵꢬ꣄,अधिकार,அதி4கார்,adhikaar,adhikAr,adhikār,əd̪ʰɪkɑːɾ,right,உரிமை,,,,Law-and-Order,words
ꢗꢵꢬꢠꣁ,चारणा॑,சாரணொ,chaarano',cAraNO,cāraṇŏ,t͡ʃɑːɾəɳo,spy,உளவாளி/ ஒற்றன்,,,,Law-and-Order,words
ꢕꢹꢜꢗꢵꢬꢶ,घूटचारि,கூ4டசாரி,ghoot'achaari,ghUTacAri,ghūṭacāri,gʰuːʈət͡ʃɑːɾɪ,spy,உளவாளி/ ஒற்றன்,,,,Law-and-Order,words
ꢒꢬ꣄ꢡꢮ꣄,कर्तव,கர்தவ்,kartav,kartav,kartav,kəɾt̪əʋ,duty,கடமை,,,,Law-and-Order,words
ꢒꢬ꣄ꢡꢮ꣄ꢫꣁ,कर्तव्या॑,கர்தவ்யொ,kartavyo',kartavyO,kartavyŏ,kəɾt̪əʋjo,duty,கடமை,,,,Law-and-Order,words
ꢒꢵꢬꢵꢒꢵꢬ꣄,काराकार,காராகார்,kaaraakaar,kArAkAr,kārākār,kɑːɾɑːkɑːɾ,rigorous imprisonment,கடுஞ்சிறை,,,,Law-and-Order,words
ꢒꢵꢬꢵꢕꢾꢬ꣄,काराघेर,காரா கே4ர்,kaaraaghe'r,kArAghEr,kārāghĕr,kɑːɾɑːgʰeɾ,rigorous imprisonment,கடுஞ்சிறை,,,,Law-and-Order,words
ꢓꢾꢞꢶꢥꢸ ꢒꢵꢬꢵꢒꢵꢬ꣄,ख॑डिनु काराकार,கெ2டி3னு காராகார்,khe'd'inu kaaraakaar,khEDinu kArAkAr,khĕḍinu kārākār,kʰeɖɪn̪u kɑːɾɑːkɑːɾ,rigorous imprisonment,கடுஞ்சிறை,,,,Law-and-Order,words
ꢕꢾꢥꢪ꣄,घ॑नम्,கெ4னம்,ghe'nam,ghEnam,ghĕnam,gʰen̪əm,dignity,கண்ணியம்,,,,Law-and-Order,words
ꢣꣁꢳꢵꢪ꣄ ꢤꢹꢪ꣄,दा॑ळाम्धूम्,தொ3ளாதூ4ம்,do'l'aam dhoom,dOLAm dhUm,dŏl̤ām dhūm,d̪oɭɑːm d̪ʰuːm,tear gas,கண்ணீர்ப்புகை,,,,Law-and-Order,words
ꢒꢮꢵꢜ꣄ ꢚꢔꢶꢥꢶ,कवाट झगिनि,கவாட் ஜ2கி3னி,kavaat' jhagini,kavAT jhagini,kavāṭ jhagini,kəʋɑːʈ d͡ʒʰəgɪn̪ɪ,lock out,கதவடைப்பு,,,,Law-and-Order,words
ꢨꢥ꣄ꢣ꣄,बन्द,ப3ந்த்3,band,band,band,bən̪d̪,lock out,கதவடைப்பு,,,,Law-and-Order,words
ꢬꣃꢳꢶ,रौळि,ரௌளி,raul'i,rauLi,raul̤i,ɾəuɭɪ,mutiny,கலகம்,,,,Law-and-Order,words
ꢒꢭꢔꢪ꣄,कलगम्,கலக3ம்,kalagam,kalagam,kalagam,kələgəm,mutiny,கலகம்,,,,Law-and-Order,words
ꢔꢭꢵꢜ꣄ꢜꢵ,कलाट्टा,க3லாட்டா,galaat't'aa,galATTA,galāṭṭā,gəlɑːʈʈɑː,disturbance,கலாட்டா,,,,Law-and-Order,words
