sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
ꢗꢶꢜ꣄ꢜꢶꢣꢶꢮꣁ,चिट्टिदिवा॑,சிட்டிதி3வொ,chit't'idivo',ciTTidivO,ciṭṭidivŏ,t͡ʃɪʈʈɪd̪ɪʋo,small earthen lamp,அகல் விளக்கு,,,,Festivals,words
ꢡꢶꢥ꣄ꢥꢳ꣄꣄,तिन्नाळ,தின்னாள்,tinnal',tinnaL,tinnal̤,t̪ɪn̪n̪əɭ,festival,உற்சவம்,,,,Festivals,words
ꢒꣀꢖ꣄ꢒꢬ꣄ꢫꢣꢵꢥ꣄,कैङकर्यदान्,கைங்கர்ய தா3ன்,kainkaryadaan,kaiGkaryadAn,kaiṅkaryadān,kəɪŋkəɾjəd̪ɑːn̪,village temple festival,கொடை,,,,Festivals,words
ꢱꢸꢣꢵꢥ꣄,सुदान्,ஸுதா3ன்,sudaan,sudAn,sudān,s̪ud̪ɑːn̪,village temple festival,கொடை,,,,Festivals,words
ꢗꣁꢒ꣄ꢣꢵꢥ꣄,चोक्दान्,சொக்தா3ன்,cho'kdaan,cOkdAn,cŏkdān,t͡ʃokd̪ɑːn̪,village temple festival,கொடை,,,,Festivals,words
ꢣꢶꢮꢭꢶ,दिवलि,தி3வளி,divali,divali,divali,d̪ɪʋəlɪ,diwali,தீபாவளி,,,,Festivals,words
ꢡꣁꢬꢠ꣄,तोरण्,தொரண்,to'ran,tOraN,tŏraṇ,t̪oɾəɳ,arches with leaves,தோரணம்,,,,Festivals,words
ꢏꢔꢡ꣄,ओगत्,ஒக3த்,o'gat,Ogat,ŏgat,ogət̪,religious fasting,நோன்பு,,,,Festivals,words
ꢮꢶꢯꢾꢰ꣄,विशेष्,விஸேஷ்,vishe'sh,vizES,viśĕṣ,ʋɪʃeʂ,festival,பண்டிகை,,,,Festivals,words
ꢦꣁꢖ꣄ꢒꢭ꣄ ꢱꢾꢥ꣄ꢥꢸ,पोङकल् स॑न्नु,பொங்கல் ஸென்னு,po'nkal se'nnu,pOGkal sEnnu,pŏṅkal sĕnnu,poŋkəl s̪en̪n̪u,a harvest festival,பொங்கல்,,,,Festivals,words
ꢪꢒꢬ ꢱꢖ꣄ꢒ꣄ꢬꢵꢥ꣄ꢡꢶ,मकर सङ्क्रान्ति,மகர ஸங்க்ராந்தி,makara sankraanti,makara saGkrAnti,makara saṅkrānti,məkəɾə s̪əŋkɾɑːn̪t̪ɪ,a harvest festival,பொங்கல்,,,,Festivals,words
