sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
,,ருக3த்தெ,rugatte,,,,(Lion) Roaring,(சிங்கம்) கர்ஜித்தல்,ஸிம்ஹாக் ராக் அவெத் ருக3யி,The lion will roar when it gets angry,சிங்கத்திற்கு கோபம் வந்தால் கர்ஜிக்கும்,animal-sounds,corpus_sourashtradictionary
,,உஸ்கத்தெ,uskatte,,,,(Dog) Barking,(நாய்) குரைத்தல்,களானாத்தெங்கொ3 ஸியெத் ஸுனொ உஸ்கஸு,The dog barks at the strangers,அந்நியர்களைப் பார்த்து நாய் குரைக்கிறது,animal-sounds,corpus_sourashtradictionary
,,மெவ்கத்தெ,mevkatte,,,,(Cat) Meowing,(பூனை) கத்துதல்,மஞ்ஜிரி ஹுடெ3த்திக்காம் மியாவ் கெரி மெவ்கஸு,The cat meows when it wakes up,பூனை எழுந்தவுடன் மியாவ் என்று கத்துகிறது,animal-sounds,corpus_sourashtradictionary
,,குகத்தெ,kukatte,,,,(Rooster) Crowing,(சேவல்) கூவுதல்,ப2ல்திவாரும் குடொ3 குகஸு,The rooster crows at dawn,விடியற்காலையில் சேவல் கூவும்,animal-sounds,corpus_sourashtradictionary
,,மெமத்தெ,mematte,,,,(Goat) Bleating,(ஆடு) கத்துதல்,பெ4ண்டு3 பூ4க் கெரத் மெமஸு,The goat bleats when it is hungry,ஆடு பசித்தால் கத்துகிறது,animal-sounds,corpus_sourashtradictionary
,,பொ4மத்தெ,bhomatte,,,,"(Buffalo) Bellowing, Grunting, Snorting",(எருமை) எக்காளமிடுதல்,பெ4ய்ஸு பொ4மினி கொ4ர்கு3ல் ஸெத்3து3 ஸொகன் ஸே,The buffalo bellows are like snoring sound,எருமை எக்காளம் குறட்டை சத்தம் போல் உள்ளது,animal-sounds,corpus_sourashtradictionary
,,ஹெஷத்தெ,heshatte,,,,"(Horse) Neighing, Whinning",(குதிரை) கனைத்தல்,து3தூ3ர் கொ4டொ3 ஹெஷரியொ ஸெத்3து3 அய்கயஸ்,"In the distance, the horse neighing sound was heard",தூரத்தில் குதிரை கனைக்கும் சத்தம் கேட்டது,animal-sounds,corpus_sourashtradictionary
,,கெ4ங்க3த்தெ,ghenggatte,,,,(Ass) Braying,(கழுதை) கத்துதல்,கெ4த3ட் ர்ஹியெவாகுர் கெ4ங்க3ஸி,The donkey suddenly brayed,கழுதை திடீரென்று கத்தியது,animal-sounds,corpus_sourashtradictionary
,,க3ரத்தெ,garatte,,,,(Wolf) Yelling,(ஓநாய்) ஊளையிடுதல்,உகொ அப்லானும் வதி3னி கெர்லத்தக் க3ரஸு,Wolf yells to communicate among themselves,ஓநாய் தங்களுக்குள் தொடர்பு கொள்ள ஊளையிடுறுகிறது,animal-sounds,corpus_sourashtradictionary
,,ஹுகத்தெ,hukatte,,,,(Fox) Howling,(நரி) ஓலமிடுதல்,கொ2லொ ராதும் ஹுகஸு,The fox howls at night,நரி இரவில் ஊளையிடும்,animal-sounds,corpus_sourashtradictionary
,,க2னத்தெ,khanatte,,,,(Pig) Grunting,(பன்றி) உறுமுதல்,து3க்கர் தெல்லெ ஸேத்தெ தா2ம் து3ஸுரெதெங்கொ3 களட3த்தக் க2னஸு,The pig grunts to let others know where they are,பன்றி தான் இருக்கும் இடத்தை மற்றவர்களுக்கு தெரியப்படுத்த உறுமும்,animal-sounds,corpus_sourashtradictionary
,,சிங்க3த்தெ,cinggatte,,,,"(Monkey) Squealing, Whooping, Screeching, Screaming, Chatteingr, Howling","(குரங்கு) கீச்சிடுதல், அலப்புதல்",உத்ஸாஹ்கன் ர்ஹாத்தவேள் கீஸுன் (கோதின்) சிங்க3ஸு,Monkies squeak when excited,உற்சாகமாக இருக்கும்போது குரங்குகள் அலப்பும்,animal-sounds,corpus_sourashtradictionary
,,கிலுபி3லாட்,kilubilaaT,,,,"(Sparrow, Rat) Chirping, Squeaking","(சிட்டுக்குருவி, எலி) கீச்சிடுதல்",சிடி3ன்கின் ஹுந்தி3ருன் கிலுபி3லயி,Sparrows and Rats squeak,சிட்டுக்குருவிகள் மற்றும் எலிகள் கீச்சிடும்,animal-sounds,corpus_sourashtradictionary
,,ஹுபத்தெ,hupatte,,,,(Hen) Jumping,(கோழி) குதித்தல்,குடி3 4 ர்ஹீ 6 பகு3ல் லெந்து ஹுபஸு,The hens can jump 4 to 6 feet,கோழி 4 முதல் 6 அடி வரை குதிக்கும்,animal-sounds,corpus_sourashtradictionary
,,கொஸத்தெ,kosatte,,,,(Cow) Goring,(மாடு) முட்டுதல்,கொ3ருன் அப்லானும் கொஸுலஸு,Cows gore among themselves,பசுக்கள் தங்களுக்குள் முட்டிக் கொள்கின்றன,animal-sounds,corpus_sourashtradictionary
,,கு2ண்டத்தெ,khuNTatte,,,,(Lion) Grasping,(சிங்கம்) கவ்வுதல்,ஸிம்ஹொ அபுல் சொராக் கு2ண்டி தெ4ரஸு,The lion grasps its prey,சிங்கம் அதன் இரையை கவ்விப் பிடிக்கிறது,animal-sounds,corpus_sourashtradictionary
