sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
,,அத்தொ,atto,,,,"Now, Currently","இப்போது, தற்போது",அத்தொ கெ4ண்டொ இக்கொ?,What time is it now?,இப்பொழுது நேரம் என்ன?,time,corpus_sourashtradictionary
,,தக்ஷணம்,takshaNam,,,,"Immediately, Instantly, In no time",உடனே,தக்ஷணம் நிகி3ளி கே4ர் ஆவ்,Leave immediately and come home,உடனே கிளம்பி வீட்டுக்கு வா,time,corpus_sourashtradictionary
,,எவேர்,evEr,,,,"Immediately, Instantly, In no time",உடனே,மொரெ ஹால் எவேர் கே4ரு ப3ட்கெ ப4ந்த3த்தக் முஸுனா,I cannot pay the rent immediately,என்னால் உடனடியாக வாடகையை செலுத்த முடியாது,time,corpus_sourashtradictionary
,,கெ4டி3ம்,gheDim,,,,"Immediately, Instantly, In no time, By the time",உடனடியாக,கெ4டி3ம் கொ2ட்டொ க2லி கெருவொ,Vacate the room instantly,உடனடியாக அறையை காலி செய்யுங்கள்,time,corpus_sourashtradictionary
,,ப2ள்சொ,phaLco,,,,After,பிறகு,தூ ஜியெ ப2ள்சொ தெனொ அவெஸ்,He came after you left,நீ போன பிறகு அவன் வந்தான்,time,corpus_sourashtradictionary
,,ப2ல்லாது,phallaatu,,,,Then,பின்னர்,ப2ல்லாது அஸ்கி தெனு மொண்ட3வ் ஸொடி3 ஜியாஸ்,Then everyone left the hall,பின்னர் அனைவரும் மண்டபத்தை விட்டு வெளியேறினர்,time,corpus_sourashtradictionary
,,ப2ல்லொ,phallo,,,,Later,பிறகு,நரெளு ஜா2ட் 3 ர்ஹீ 8 ஒர்ஸு ப2ல்லொ போ2ள் தே3யி,A coconut tree bears fruit after 3 to 8 years,தென்னை மரம் 3 முதல் 8 ஆண்டுகளுக்குப் பிறகு பலனைத் தரும்,time,corpus_sourashtradictionary
,,ப2ராது,pharaatu,,,,After,பிறகு,க2யெ ப2ராது ஹோங்கு3 அவயி,Sleep comes after taking food,சாப்பிட்ட பிறகு தூக்கம் வரும்,time,corpus_sourashtradictionary
,,ப2ள்சாது,phaLcaatu,,,,Later,பிறகு,மீ தொகொ3 ப2ள்சாது பொ3வுஸ்,I'll call you later,நான் உன்னை பிறகு அழைக்கிறேன்,time,corpus_sourashtradictionary
,,தெக3 ப2ள்சாது,tega phaLcaatu,,,,Thereafter,அதற்குப்பிறகு,தெக3 ப2ள்சாது தெங்கொ3 கொன்னிதெனு நொம்ப்3யானி,Thereafter no one trusted him,அதன் பிறகு யாரும் அவரை நம்பவில்லை,time,corpus_sourashtradictionary
