sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
,,பிகுடொ3,pikuDo,,,,"Fish Gill, Scales",செவுள்,ம்ஹளின் பிகுடொ3 ஹால் ஸுவாஸம் கெரஸு,Fish breathe through the gills,மீன்கள் செதில்கள் மூலம் சுவாசிக்கும்,animal-body,corpus_sourashtradictionary
,,பிங்குடொ3,pingkuDo,,,,"Fish Gill, Scales",செவுள்,ம்ஹளி தோனு வாட் பனி க2ள்ளி பிங்குடொ3 வாட் ப4ராட் ஸொட3ஸு,The fish takes water from its mouth and expels it through the gills,மீன் தன் வாயிலிருந்து தண்ணீரை எடுத்து செவுள்கள் வழியாக வெளியேற்றுகிறது,animal-body,corpus_sourashtradictionary
,,பூஸ்,poos,,,,Tail,வால்,கா3யிக் பூஸ் லம்பு3 ர்ஹாயி,The tail of the cow is long,மாட்டிற்கு வால் நீளமாக இருக்கும்,animal-body,corpus_sourashtradictionary
,,புஶிடி3,pussiDi,,,,Tail,வால்,பெ4ண்டுக் புஸிடி3 அக்ரொ ர்ஹாயி,The tail of the goat is short,ஆடுக்கு வால் குட்டையாக இருக்கும்,animal-body,corpus_sourashtradictionary
,,ஸொண்டி,soNTi,,,,Trunk,தும்பிக்கை,ஐஸ்து பொ3லம் ஸொண்டிம் ஸே,The strength of the elephant is in the trunk,யானையின் பலம் தும்பிக்கையில் உள்ளது,animal-body,corpus_sourashtradictionary
,,த3ந்து,dantu,,,,"Tusk, Ivory",தந்தம்,த3ல்லா ஐஸ்துக் ஒண்ட்டேஸ் த3ந்து ர்ஹாயி,Only male elephants have tusk,ஆண் யானைகளுக்கு மட்டுமே தந்தம் இருக்கும்,animal-body,corpus_sourashtradictionary
,,கா3யிகோ3ஷ்டு,gaayigOshTu,,,,"Cow barn, Cowshed, Cattle shed","தொழுவம், மாட்டுத் தொழுவம்",தூ3துகா3யினுக் கா3யிகோ3ஷ்டும் ஹொவ்ட3ஸுன்,Dairy cows are reared in cowsheds,கறவை மாடுகளை மாட்டுத் தொழுவத்தில் வளர்ப்பார்கள்,animal-body,corpus_sourashtradictionary
,,கோ3ஷ்டு,gOshTu,,,,Stable,"தொழுவம், குதிரை லாயம்",கொ4டா3ன் கோ3ஷ்டும் ஸே,The horses are in the stable,குதிரைகள் தொழுவத்தில் உள்ளன,animal-body,corpus_sourashtradictionary
,,பொ3ந்தொ3,bondo,,,,Rat burrow,எலி வளை,கே2து ஹுந்தி3ர்னுன் பொ3ந்தொ3 க2னி தெமாம் ஜிவஸு,Field rats dig a hole and live in it,வயல் எலிகள் வளை தோண்டி அதில் வாழும்,animal-body,corpus_sourashtradictionary
,,லொடொ3,loDo,,,,"Faecal matter of rat, Rat poop",எலிப்புழுக்கை,ஹுந்தி3ரு லொடா3க் ஹந்த3வ் தௌரமு ஸவாய்,Rat poop can be seen in the kitchen,எலிப்புழுக்கையை சமையலறையில் காணலாம்,animal-body,corpus_sourashtradictionary
