sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
,,ஒஸ்து,ostu,,,,Relation,உறவு,,,,relation,corpus_sourashtradictionary
,,ஸொந்த3ம்,sondam,,,,Kinship,உறவு,,,,relation,corpus_sourashtradictionary
,,ப3ந்து4,bandhu,,,,"Kin, Relative",உறவினர்,,,,relation,corpus_sourashtradictionary
,,பா3ந்த4வு,baandhavu,,,,"Kin, Relative",உறவினர்,,,,relation,corpus_sourashtradictionary
,,ஊகு,uuku,,,,"Kin, Relative",உறவினர்,,,,relation,corpus_sourashtradictionary
,,ஸொவ்ரொ,sovro,,,,"Kin, Relative",உறவினர்,,,,relation,corpus_sourashtradictionary
,,ததி3,tadi,,,,Relationship,உறவுமுறை,,,,relation,corpus_sourashtradictionary
,,அம்போ3,ambO,,,,"Mother, Mom, Mummy",தாய்,,,,relation,corpus_sourashtradictionary
,,போ3,bO,,,,"Father, Dad, Daddy",அப்பா,,,,relation,corpus_sourashtradictionary
,,மாய்,maay,,,,"Mother, Mom, Mummy",அம்மா,,,,relation,corpus_sourashtradictionary
,,பா3ப்,baap,,,,"Father, Dad, Daddy",தந்தை,,,,relation,corpus_sourashtradictionary
,,மாய்பா3ப்,maaybaap,,,,Parents,"பெற்றோர், பெற்றவர்கள்",,,,relation,corpus_sourashtradictionary
,,ஜெனித்தெனொ,jenitteno,,,,Birth mother,பெற்ற தாய்,,,,relation,corpus_sourashtradictionary
,,ஜெனாத்தெனு,jenaattenu,,,,Parents,"பெற்றோர், பெற்றவர்கள்",,,,relation,corpus_sourashtradictionary
,,அம்ப்3லொ,amblo,,,,Husband,கணவர்,,,,relation,corpus_sourashtradictionary
,,த3ல்லொ,dallo,,,,Husband,கணவன்,,,,relation,corpus_sourashtradictionary
,,பை3ல்,bail,,,,Wife,பெண்,,,,relation,corpus_sourashtradictionary
,,பெ3ய்ல்,beyl,,,,Wife,மனைவி,,,,relation,corpus_sourashtradictionary
,,தா3ரா,daaraa,,,,Wife,மனைவி,,,,relation,corpus_sourashtradictionary
,,கே4ரளி,ghEraLi,,,,Housewife,இல்லாள்,,,,relation,corpus_sourashtradictionary
,,ஸராவளி,saraavaLi,,,,"Husband or Wife, Spouse, Life partner, Companian","கணவன் (அ) மனைவி, வாழ்க்கைத் துணை",,,,relation,corpus_sourashtradictionary
,,ஸொவெத்,sovet,,,,"Co wife, Concubine","இரண்டாவது மனைவி, சக்களத்தி",,,,relation,corpus_sourashtradictionary
,,பெ3டொ3,beDo,,,,Son,மகன்,,,,relation,corpus_sourashtradictionary
,,பொரொ,poro,,,,Son,மகன்,,,,relation,corpus_sourashtradictionary
,,வத்லொ,vatlo,,,,Son,மகன்,,,,relation,corpus_sourashtradictionary
,,ஸுனு,sunu,,,,Son,மகன்,,,,relation,corpus_sourashtradictionary
,,பெ3டி3,beDi,,,,Daughter,மகள்,,,,relation,corpus_sourashtradictionary
,,பெ2ய்லட்,pheylaT,,,,Eldest sibiling,"மூத்தமகன், தலைமகன்",,,,relation,corpus_sourashtradictionary
,,ம்ஹொடொ3தெனு,mhoDotenu,,,,Elder sibiling,மூத்தவர்,,,,relation,corpus_sourashtradictionary
,,ம்ஹஜா2ல்யொ,mhajhaalyo,,,,Middle sibiling,நடு மகன்,,,,relation,corpus_sourashtradictionary
,,ந்ஹன்னதெனு,nhannatenu,,,,Younger sibiling,இளையவர்,,,,relation,corpus_sourashtradictionary
,,ஸந்தோஜி,santOji,,,,Co-born,உடன் பிறந்தவர்,,,,relation,corpus_sourashtradictionary
,,"தா3, த3தா3","daa, dadaa",,,,"Bro, Brother",அண்ணா,,,,relation,corpus_sourashtradictionary
,,த3தொ3,dado,,,,Elder Brother,அண்ணன்,,,,relation,corpus_sourashtradictionary
,,ப4வி,bhavi,,,,"Sister-in-law, Elder Brothers wife",அண்ணி,,,,relation,corpus_sourashtradictionary
,,ந்ஹன் ப4ய்,nhan bhay,,,,Younger brother,"தம்பி, இளைய சகோதரர்",,,,relation,corpus_sourashtradictionary
,,ப4ய்,bhay,,,,Younger brother,"தம்பி, இளைய சகோதரர்",,,,relation,corpus_sourashtradictionary
,,பொ4ஜை,bhojai,,,,"Sister-in-law, Younger brother's wife",தம்பி மனைவி,,,,relation,corpus_sourashtradictionary
,,பெ3ய்,bey,,,,Elder Sister,அக்கா,,,,relation,corpus_sourashtradictionary
,,ப4வொ,bhavo,,,,"Brother-in-law, Elder Sister's husband",அக்கா கணவர்,,,,relation,corpus_sourashtradictionary
,,ந்ஹன் பெ4ய்ன்,nhan bheyn,,,,Younger sister,"தங்கை, இளைய சகோதரி",,,,relation,corpus_sourashtradictionary
,,பெ4ய்ன்,bheyn,,,,Younger Sister,"தங்கை, இளைய சகோதரி",,,,relation,corpus_sourashtradictionary
,,பெ4ய்னம்பு3லொ,bheynambuleaa,,,,"Brother-in-law, Younger Sister's husband",தங்கை கணவர்,,,,relation,corpus_sourashtradictionary
,,ந்ஹன்னபோ3,nhannabO,,,,"Uncle, Father's Younger Brother",சித்தப்பா,,,,relation,corpus_sourashtradictionary
,,ந்ஹன்னம்போ3,nhannambO,,,,"Aunty, Father's Younger Brother's wife",சின்னம்மா,,,,relation,corpus_sourashtradictionary
,,ககா,kakaa,,,,"Uncle, Father's Younger Brother",சித்தப்பா,,,,relation,corpus_sourashtradictionary
,,ககி,kaki,,,,"Aunty, Father's Younger Brother's wife",சித்தி,,,,relation,corpus_sourashtradictionary
,,ம்ஹொட்டபோ3,mhoTTabO,,,,"Uncle, Father's Elder Brother",பெரியப்பா,,,,relation,corpus_sourashtradictionary
